GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
1,MATHEMATICS,110,4.9
1,MATHEMATICS,111,4.9
1,MATHEMATICS,112,4.9
1,MATHEMATICS,113,4.9
1,MATHEMATICS,114,4.9
1,MATHEMATICS,115,4.9
1,MATHEMATICS,116,4.9
1,MATHEMATICS,117,4.9
1,MATHEMATICS,118,4.9
1,MATHEMATICS,119,4.9
1,MATHEMATICS,120,4.9
1,MATHEMATICS,121,4.9
1,MATHEMATICS,122,4.9
1,MATHEMATICS,123,4.9
1,MATHEMATICS,124,4.9
1,MATHEMATICS,125,4.9
1,MATHEMATICS,126,4.9
1,MATHEMATICS,127,4.9
1,MATHEMATICS,128,4.9
1,MATHEMATICS,129,4.9
1,MATHEMATICS,130,4.9
1,MATHEMATICS,131,4.9
1,MATHEMATICS,132,4.9
1,MATHEMATICS,133,4.9
1,MATHEMATICS,134,4.9
1,MATHEMATICS,135,4.9
1,MATHEMATICS,136,4.9
1,MATHEMATICS,137,4.9
1,MATHEMATICS,138,4.9
1,MATHEMATICS,139,4.9
1,MATHEMATICS,140,4.9
1,MATHEMATICS,141,4.9
1,MATHEMATICS,142,4.9
1,MATHEMATICS,143,4.9
1,MATHEMATICS,144,4.9
1,MATHEMATICS,145,4.9
1,MATHEMATICS,146,4.9
1,MATHEMATICS,147,4.9
1,MATHEMATICS,148,4.9
1,MATHEMATICS,149,4.9
1,MATHEMATICS,150,4.9
1,MATHEMATICS,151,4.9
1,MATHEMATICS,152,4.9
1,MATHEMATICS,153,4.9
1,MATHEMATICS,154,4.9
1,MATHEMATICS,155,4.9
1,MATHEMATICS,156,4.9
1,MATHEMATICS,157,4.9
1,MATHEMATICS,158,4.9
1,MATHEMATICS,159,4.9
1,MATHEMATICS,160,4.9
1,MATHEMATICS,161,4.9
1,MATHEMATICS,162,4.9
1,MATHEMATICS,163,4.9
1,MATHEMATICS,164,4.9
1,MATHEMATICS,165,4.9
1,MATHEMATICS,166,4.9
1,MATHEMATICS,167,4.9
1,MATHEMATICS,168,4.9
1,MATHEMATICS,169,4.9
1,MATHEMATICS,170,4.9
1,MATHEMATICS,171,4.9
1,MATHEMATICS,172,4.9
1,MATHEMATICS,173,4.9
1,MATHEMATICS,174,4.9
1,MATHEMATICS,175,4.9
1,MATHEMATICS,176,4.9
1,MATHEMATICS,177,4.9
1,MATHEMATICS,178,4.9
1,MATHEMATICS,179,4.9
1,MATHEMATICS,180,4.9
1,MATHEMATICS,181,4.9
1,MATHEMATICS,182,4.9
1,MATHEMATICS,183,4.9
1,MATHEMATICS,184,4.9
1,MATHEMATICS,185,4.9
1,MATHEMATICS,186,4.9
1,MATHEMATICS,187,4.9
1,MATHEMATICS,188,4.9
1,MATHEMATICS,189,4.9
1,MATHEMATICS,190,4.9
1,MATHEMATICS,191,4.9
1,MATHEMATICS,192,4.9
1,MATHEMATICS,193,4.9
1,MATHEMATICS,194,4.9
1,MATHEMATICS,195,4.9
1,MATHEMATICS,196,4.9
1,MATHEMATICS,197,4.9
1,MATHEMATICS,198,4.9
1,MATHEMATICS,199,4.9
1,MATHEMATICS,200,4.9
1,MATHEMATICS,201,4.9
1,MATHEMATICS,202,4.9
1,MATHEMATICS,203,4.9
1,MATHEMATICS,204,4.9
1,LITERACY,110,4.1
1,LITERACY,111,4.1
1,LITERACY,112,4.1
1,LITERACY,113,4.1
1,LITERACY,114,4.1
1,LITERACY,115,4.1
1,LITERACY,116,4.1
1,LITERACY,117,4.1
1,LITERACY,118,4.1
1,LITERACY,119,4.1
1,LITERACY,120,4.1
1,LITERACY,121,4.1
1,LITERACY,122,4.1
1,LITERACY,123,4.1
1,LITERACY,124,4.1
1,LITERACY,125,4.1
1,LITERACY,126,4.1
1,LITERACY,127,4.1
1,LITERACY,128,4.1
1,LITERACY,129,4.1
1,LITERACY,130,4.1
1,LITERACY,131,4.1
1,LITERACY,132,4.1
1,LITERACY,133,4.1
1,LITERACY,134,4.1
1,LITERACY,135,4.1
1,LITERACY,136,4.1
1,LITERACY,137,4.1
1,LITERACY,138,4.1
1,LITERACY,139,4.1
1,LITERACY,140,4.1
1,LITERACY,141,4.1
