SCALE_SCORE,CSEM,GRADE,CONTENT_AREA
150,69,3,MATHEMATICS
175,60,3,MATHEMATICS
200,52,3,MATHEMATICS
225,46,3,MATHEMATICS
250,40,3,MATHEMATICS
275,36,3,MATHEMATICS
300,32,3,MATHEMATICS
325,29,3,MATHEMATICS
350,26,3,MATHEMATICS
375,24,3,MATHEMATICS
400,23,3,MATHEMATICS
425,22,3,MATHEMATICS
450,22,3,MATHEMATICS
475,23,3,MATHEMATICS
500,24,3,MATHEMATICS
525,26,3,MATHEMATICS
550,29,3,MATHEMATICS
575,32,3,MATHEMATICS
600,37,3,MATHEMATICS
625,43,3,MATHEMATICS
650,50,3,MATHEMATICS
675,59,3,MATHEMATICS
700,70,3,MATHEMATICS
180,51,4,MATHEMATICS
200,45,4,MATHEMATICS
225,39,4,MATHEMATICS
250,34,4,MATHEMATICS
275,30,4,MATHEMATICS
300,26,4,MATHEMATICS
325,23,4,MATHEMATICS
350,21,4,MATHEMATICS
375,19,4,MATHEMATICS
400,17,4,MATHEMATICS
425,16,4,MATHEMATICS
450,15,4,MATHEMATICS
475,15,4,MATHEMATICS
500,15,4,MATHEMATICS
525,16,4,MATHEMATICS
550,18,4,MATHEMATICS
575,20,4,MATHEMATICS
600,23,4,MATHEMATICS
625,28,4,MATHEMATICS
650,34,4,MATHEMATICS
675,41,4,MATHEMATICS
700,50,4,MATHEMATICS
725,60,4,MATHEMATICS
750,73,4,MATHEMATICS
775,87,4,MATHEMATICS
780,91,4,MATHEMATICS
220,64,5,MATHEMATICS
225,61,5,MATHEMATICS
250,51,5,MATHEMATICS
275,43,5,MATHEMATICS
300,36,5,MATHEMATICS
325,30,5,MATHEMATICS
350,25,5,MATHEMATICS
375,22,5,MATHEMATICS
400,19,5,MATHEMATICS
425,17,5,MATHEMATICS
450,16,5,MATHEMATICS
475,15,5,MATHEMATICS
500,14,5,MATHEMATICS
525,14,5,MATHEMATICS
550,14,5,MATHEMATICS
575,15,5,MATHEMATICS
600,17,5,MATHEMATICS
625,20,5,MATHEMATICS
650,26,5,MATHEMATICS
675,33,5,MATHEMATICS
700,41,5,MATHEMATICS
725,51,5,MATHEMATICS
750,63,5,MATHEMATICS
775,77,5,MATHEMATICS
800,93,5,MATHEMATICS
240,62,6,MATHEMATICS
250,59,6,MATHEMATICS
275,51,6,MATHEMATICS
300,45,6,MATHEMATICS
325,39,6,MATHEMATICS
350,34,6,MATHEMATICS
375,30,6,MATHEMATICS
400,26,6,MATHEMATICS
425,23,6,MATHEMATICS
450,20,6,MATHEMATICS
475,18,6,MATHEMATICS
500,16,6,MATHEMATICS
525,15,6,MATHEMATICS
550,14,6,MATHEMATICS
575,14,6,MATHEMATICS
600,15,6,MATHEMATICS
625,17,6,MATHEMATICS
650,20,6,MATHEMATICS
675,24,6,MATHEMATICS
700,30,6,MATHEMATICS
725,37,6,MATHEMATICS
750,47,6,MATHEMATICS
775,58,6,MATHEMATICS
800,70,6,MATHEMATICS
825,84,6,MATHEMATICS
830,87,6,MATHEMATICS
280,95,7,MATHEMATICS
300,81,7,MATHEMATICS
325,65,7,MATHEMATICS
350,52,7,MATHEMATICS
375,42,7,MATHEMATICS
400,34,7,MATHEMATICS
425,29,7,MATHEMATICS
450,25,7,MATHEMATICS
475,22,7,MATHEMATICS
500,19,7,MATHEMATICS
525,16,7,MATHEMATICS
550,14,7,MATHEMATICS
575,13,7,MATHEMATICS
600,13,7,MATHEMATICS
625,13,7,MATHEMATICS
650,14,7,MATHEMATICS
675,17,7,MATHEMATICS
700,21,7,MATHEMATICS
725,26,7,MATHEMATICS
750,33,7,MATHEMATICS
775,42,7,MATHEMATICS
800,52,7,MATHEMATICS
825,64,7,MATHEMATICS
850,78,7,MATHEMATICS
860,84,7,MATHEMATICS
310,78,8,MATHEMATICS
325,71,8,MATHEMATICS
350,60,8,MATHEMATICS
375,50,8,MATHEMATICS
400,42,8,MATHEMATICS
425,35,8,MATHEMATICS
450,30,8,MATHEMATICS
475,26,8,MATHEMATICS
500,22,8,MATHEMATICS
525,18,8,MATHEMATICS
550,16,8,MATHEMATICS
575,14,8,MATHEMATICS
600,13,8,MATHEMATICS
625,12,8,MATHEMATICS
650,13,8,MATHEMATICS
675,15,8,MATHEMATICS
700,18,8,MATHEMATICS
725,22,8,MATHEMATICS
750,26,8,MATHEMATICS
775,32,8,MATHEMATICS
800,39,8,MATHEMATICS
825,47,8,MATHEMATICS
850,56,8,MATHEMATICS
875,66,8,MATHEMATICS
890,73,8,MATHEMATICS
340,97,9,MATHEMATICS
350,88,9,MATHEMATICS
375,69,9,MATHEMATICS
400,55,9,MATHEMATICS
425,44,9,MATHEMATICS
450,36,9,MATHEMATICS
475,29,9,MATHEMATICS
500,24,9,MATHEMATICS
525,21,9,MATHEMATICS
550,17,9,MATHEMATICS
575,15,9,MATHEMATICS
600,13,9,MATHEMATICS
625,12,9,MATHEMATICS
650,11,9,MATHEMATICS
675,11,9,MATHEMATICS
700,12,9,MATHEMATICS
725,15,9,MATHEMATICS
750,20,9,MATHEMATICS
775,27,9,MATHEMATICS
800,36,9,MATHEMATICS
825,47,9,MATHEMATICS
850,60,9,MATHEMATICS
875,76,9,MATHEMATICS
900,95,9,MATHEMATICS
920,113,9,MATHEMATICS
370,82,10,MATHEMATICS
375,78,10,MATHEMATICS
400,62,10,MATHEMATICS
425,51,10,MATHEMATICS
450,41,10,MATHEMATICS
475,34,10,MATHEMATICS
500,29,10,MATHEMATICS
525,23,10,MATHEMATICS
550,19,10,MATHEMATICS
575,16,10,MATHEMATICS
600,14,10,MATHEMATICS
625,13,10,MATHEMATICS
650,12,10,MATHEMATICS
675,11,10,MATHEMATICS
700,12,10,MATHEMATICS
725,15,10,MATHEMATICS
750,19,10,MATHEMATICS
775,24,10,MATHEMATICS
800,30,10,MATHEMATICS
825,36,10,MATHEMATICS
850,44,10,MATHEMATICS
875,53,10,MATHEMATICS
900,64,10,MATHEMATICS
925,78,10,MATHEMATICS
950,95,10,MATHEMATICS
