GRADE	CONTENT_AREA	SCALE_SCORE	SCALE_SCORE_CSEM
EOCT	ANALYTIC_GEOMETRY	200	65
EOCT	ANALYTIC_GEOMETRY	233	36
EOCT	ANALYTIC_GEOMETRY	238	36
EOCT	ANALYTIC_GEOMETRY	259	26
EOCT	ANALYTIC_GEOMETRY	264	26
EOCT	ANALYTIC_GEOMETRY	275	22
EOCT	ANALYTIC_GEOMETRY	279	21
EOCT	ANALYTIC_GEOMETRY	286	19
EOCT	ANALYTIC_GEOMETRY	291	19
EOCT	ANALYTIC_GEOMETRY	296	17
EOCT	ANALYTIC_GEOMETRY	300	17
EOCT	ANALYTIC_GEOMETRY	303	16
EOCT	ANALYTIC_GEOMETRY	307	16
EOCT	ANALYTIC_GEOMETRY	310	15
EOCT	ANALYTIC_GEOMETRY	314	15
EOCT	ANALYTIC_GEOMETRY	316	14
EOCT	ANALYTIC_GEOMETRY	320	14
EOCT	ANALYTIC_GEOMETRY	322	14
EOCT	ANALYTIC_GEOMETRY	325	13
EOCT	ANALYTIC_GEOMETRY	327	13
EOCT	ANALYTIC_GEOMETRY	330	13
EOCT	ANALYTIC_GEOMETRY	332	13
EOCT	ANALYTIC_GEOMETRY	335	12
EOCT	ANALYTIC_GEOMETRY	336	12
EOCT	ANALYTIC_GEOMETRY	339	12
EOCT	ANALYTIC_GEOMETRY	340	12
EOCT	ANALYTIC_GEOMETRY	343	12
EOCT	ANALYTIC_GEOMETRY	344	12
EOCT	ANALYTIC_GEOMETRY	347	12
EOCT	ANALYTIC_GEOMETRY	348	11
EOCT	ANALYTIC_GEOMETRY	350	11
EOCT	ANALYTIC_GEOMETRY	352	11
EOCT	ANALYTIC_GEOMETRY	354	11
EOCT	ANALYTIC_GEOMETRY	355	11
EOCT	ANALYTIC_GEOMETRY	357	11
EOCT	ANALYTIC_GEOMETRY	359	11
EOCT	ANALYTIC_GEOMETRY	361	11
EOCT	ANALYTIC_GEOMETRY	362	11
EOCT	ANALYTIC_GEOMETRY	364	11
EOCT	ANALYTIC_GEOMETRY	365	11
EOCT	ANALYTIC_GEOMETRY	367	11
EOCT	ANALYTIC_GEOMETRY	369	11
EOCT	ANALYTIC_GEOMETRY	370	10
EOCT	ANALYTIC_GEOMETRY	372	11
EOCT	ANALYTIC_GEOMETRY	373	10
EOCT	ANALYTIC_GEOMETRY	375	10
EOCT	ANALYTIC_GEOMETRY	376	10
EOCT	ANALYTIC_GEOMETRY	378	10
EOCT	ANALYTIC_GEOMETRY	379	10
EOCT	ANALYTIC_GEOMETRY	381	10
EOCT	ANALYTIC_GEOMETRY	382	10
EOCT	ANALYTIC_GEOMETRY	384	10
EOCT	ANALYTIC_GEOMETRY	385	10
EOCT	ANALYTIC_GEOMETRY	387	10
EOCT	ANALYTIC_GEOMETRY	388	10
EOCT	ANALYTIC_GEOMETRY	390	10
EOCT	ANALYTIC_GEOMETRY	391	10
EOCT	ANALYTIC_GEOMETRY	393	10
EOCT	ANALYTIC_GEOMETRY	394	10
EOCT	ANALYTIC_GEOMETRY	396	10
EOCT	ANALYTIC_GEOMETRY	397	10
EOCT	ANALYTIC_GEOMETRY	400	10
EOCT	ANALYTIC_GEOMETRY	403	10
EOCT	ANALYTIC_GEOMETRY	406	10.5
EOCT	ANALYTIC_GEOMETRY	409	10.5
EOCT	ANALYTIC_GEOMETRY	412	11
EOCT	ANALYTIC_GEOMETRY	413	11
EOCT	ANALYTIC_GEOMETRY	416	11
EOCT	ANALYTIC_GEOMETRY	419	11
EOCT	ANALYTIC_GEOMETRY	422	11
EOCT	ANALYTIC_GEOMETRY	426	11
EOCT	ANALYTIC_GEOMETRY	430	12
EOCT	ANALYTIC_GEOMETRY	433	12
EOCT	ANALYTIC_GEOMETRY	434	12
EOCT	ANALYTIC_GEOMETRY	437	12
EOCT	ANALYTIC_GEOMETRY	438	12
EOCT	ANALYTIC_GEOMETRY	442	12.5
EOCT	ANALYTIC_GEOMETRY	450	13
EOCT	ANALYTIC_GEOMETRY	451	13
EOCT	ANALYTIC_GEOMETRY	452	13
EOCT	ANALYTIC_GEOMETRY	456	14
EOCT	ANALYTIC_GEOMETRY	457	14
EOCT	ANALYTIC_GEOMETRY	462	15
EOCT	ANALYTIC_GEOMETRY	463	15
EOCT	ANALYTIC_GEOMETRY	468	16
EOCT	ANALYTIC_GEOMETRY	470	16
EOCT	ANALYTIC_GEOMETRY	476	17
EOCT	ANALYTIC_GEOMETRY	478	17
EOCT	ANALYTIC_GEOMETRY	485	19
EOCT	ANALYTIC_GEOMETRY	487	19
EOCT	ANALYTIC_GEOMETRY	496	21
EOCT	ANALYTIC_GEOMETRY	498	21
EOCT	ANALYTIC_GEOMETRY	511	26
EOCT	ANALYTIC_GEOMETRY	513	26
EOCT	ANALYTIC_GEOMETRY	537	36
EOCT	ANALYTIC_GEOMETRY	539	36
EOCT	ANALYTIC_GEOMETRY	600	64
