RAW	Scale Score	SS CSEM
0	200	64
1	241	35
2	266	25
3	282	21
4	293	18
5	302	17
6	309	16
7	316	15
8	321	14
9	327	13
10	331	13
11	336	12
12	340	12
13	344	12
14	348	11
15	351	11
16	355	11
17	358	11
18	362	11
19	365	10
20	368	10
21	371	10
22	374	10
23	377	10
24	380	10
25	383	10
26	386	10
27	388	10
28	391	10
29	394	10
30	397	10
31	400	10
32	403	10
33	406	10
34	409	10
35	412	10
36	415	11
37	418	11
38	422	11
39	425	11
40	429	11
41	433	12
42	437	12
43	441	12
44	445	13
45	450	13
46	455	14
47	461	15
48	467	15
49	475	17
50	484	18
51	495	21
52	510	25
53	535	35
54	600	64
