GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
EOCT,GRADE_9_LIT,200,61
EOCT,GRADE_9_LIT,244,34
EOCT,GRADE_9_LIT,267,24
EOCT,GRADE_9_LIT,268,24
EOCT,GRADE_9_LIT,282,20
EOCT,GRADE_9_LIT,292,17
EOCT,GRADE_9_LIT,293,17
EOCT,GRADE_9_LIT,300,16
EOCT,GRADE_9_LIT,301,16
EOCT,GRADE_9_LIT,307,15
EOCT,GRADE_9_LIT,308,15
EOCT,GRADE_9_LIT,313,14
EOCT,GRADE_9_LIT,314,14
EOCT,GRADE_9_LIT,318,13
EOCT,GRADE_9_LIT,319,13
EOCT,GRADE_9_LIT,323,12
EOCT,GRADE_9_LIT,324,12
EOCT,GRADE_9_LIT,327,12
EOCT,GRADE_9_LIT,328,12
EOCT,GRADE_9_LIT,331,11
EOCT,GRADE_9_LIT,332,11
EOCT,GRADE_9_LIT,335,11
EOCT,GRADE_9_LIT,336,11
EOCT,GRADE_9_LIT,339,11
EOCT,GRADE_9_LIT,340,11
EOCT,GRADE_9_LIT,342,10
EOCT,GRADE_9_LIT,343,10
EOCT,GRADE_9_LIT,345,10
EOCT,GRADE_9_LIT,346,10
EOCT,GRADE_9_LIT,348,10
EOCT,GRADE_9_LIT,349,10
EOCT,GRADE_9_LIT,351,10
EOCT,GRADE_9_LIT,352,10
EOCT,GRADE_9_LIT,354,10
EOCT,GRADE_9_LIT,355,10
EOCT,GRADE_9_LIT,357,9
EOCT,GRADE_9_LIT,358,9
EOCT,GRADE_9_LIT,359,9
EOCT,GRADE_9_LIT,361,9
EOCT,GRADE_9_LIT,362,9
EOCT,GRADE_9_LIT,363,9
EOCT,GRADE_9_LIT,364,9
EOCT,GRADE_9_LIT,366,9
EOCT,GRADE_9_LIT,367,9
EOCT,GRADE_9_LIT,368,9
EOCT,GRADE_9_LIT,369,9
EOCT,GRADE_9_LIT,371,9
EOCT,GRADE_9_LIT,372,9
EOCT,GRADE_9_LIT,373,9
EOCT,GRADE_9_LIT,374,9
EOCT,GRADE_9_LIT,375,9
EOCT,GRADE_9_LIT,376,9
EOCT,GRADE_9_LIT,378,9
EOCT,GRADE_9_LIT,379,9
EOCT,GRADE_9_LIT,380,9
EOCT,GRADE_9_LIT,381,9
EOCT,GRADE_9_LIT,382,9
EOCT,GRADE_9_LIT,383,9
EOCT,GRADE_9_LIT,385,9
EOCT,GRADE_9_LIT,387,9
EOCT,GRADE_9_LIT,388,9
EOCT,GRADE_9_LIT,389,9
EOCT,GRADE_9_LIT,390,9
EOCT,GRADE_9_LIT,391,9
EOCT,GRADE_9_LIT,392,9
