GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
EOCT,ALGEBRA,200,65
EOCT,ALGEBRA,258,36
EOCT,ALGEBRA,284,26
EOCT,ALGEBRA,299,21
EOCT,ALGEBRA,310,19
EOCT,ALGEBRA,319,17
EOCT,ALGEBRA,327,16
EOCT,ALGEBRA,333,15
EOCT,ALGEBRA,339,14
EOCT,ALGEBRA,344,13
EOCT,ALGEBRA,349,13
EOCT,ALGEBRA,353,12
EOCT,ALGEBRA,358,12
EOCT,ALGEBRA,362,12
EOCT,ALGEBRA,365,11
EOCT,ALGEBRA,369,11
EOCT,ALGEBRA,372,11
EOCT,ALGEBRA,376,11
EOCT,ALGEBRA,379,11
EOCT,ALGEBRA,382,11
EOCT,ALGEBRA,385,10
EOCT,ALGEBRA,388,10
EOCT,ALGEBRA,391,10
EOCT,ALGEBRA,394,10
EOCT,ALGEBRA,397,10
EOCT,ALGEBRA,400,10
EOCT,ALGEBRA,403,10
EOCT,ALGEBRA,406,10
EOCT,ALGEBRA,409,10
EOCT,ALGEBRA,412,10
EOCT,ALGEBRA,414,10
EOCT,ALGEBRA,417,10
EOCT,ALGEBRA,420,10
EOCT,ALGEBRA,423,10
EOCT,ALGEBRA,426,10
EOCT,ALGEBRA,429,11
EOCT,ALGEBRA,433,11
EOCT,ALGEBRA,436,11
EOCT,ALGEBRA,439,11
EOCT,ALGEBRA,443,11
EOCT,ALGEBRA,446,11
EOCT,ALGEBRA,450,12
EOCT,ALGEBRA,454,12
EOCT,ALGEBRA,458,12
EOCT,ALGEBRA,463,13
EOCT,ALGEBRA,467,13
EOCT,ALGEBRA,473,14
EOCT,ALGEBRA,478,15
EOCT,ALGEBRA,485,16
EOCT,ALGEBRA,492,17
EOCT,ALGEBRA,501,19
EOCT,ALGEBRA,513,21
EOCT,ALGEBRA,528,26
EOCT,ALGEBRA,554,36
EOCT,ALGEBRA,600,65
