RAW	Theta Ability	Theta CSEM	Scale Score	SS CSEM
0	-5.3	1.833	200	58
1	-4.0754	1.014	279	32
2	-3.3528	0.727	301	23
3	-2.9178	0.602	315	19
4	-2.6004	0.528	325	17
5	-2.3474	0.479	333	15
6	-2.1351	0.443	340	14
7	-1.9506	0.416	345	13
8	-1.7865	0.394	350	12
9	-1.6379	0.377	355	12
10	-1.5013	0.362	359	11
11	-1.3743	0.35	363	11
12	-1.2553	0.34	367	11
13	-1.1427	0.331	371	10
14	-1.0356	0.323	374	10
15	-0.933	0.317	377	10
16	-0.8344	0.311	380	10
17	-0.739	0.306	383	10
18	-0.6464	0.302	386	9
19	-0.5562	0.298	389	9
20	-0.468	0.295	392	9
21	-0.3814	0.292	395	9
22	-0.2963	0.29	397	9
23	-0.2122	0.289	400	9
24	-0.1291	0.287	403	9
25	-0.0465	0.286	405	9
26	0.0356	0.286	408	9
27	0.1175	0.286	410	9
28	0.1994	0.286	413	9
29	0.2815	0.286	416	9
30	0.364	0.287	418	9
31	0.4472	0.289	421	9
32	0.5313	0.29	423	9
33	0.6164	0.292	426	9
34	0.703	0.295	429	9
35	0.7912	0.298	432	9
36	0.8814	0.302	434	9
37	0.974	0.306	437	10
38	1.0694	0.311	440	10
39	1.168	0.317	443	10
40	1.2705	0.323	447	10
41	1.3776	0.331	450	10
42	1.49	0.339	454	11
43	1.6089	0.35	457	11
44	1.7356	0.362	461	11
45	1.872	0.376	466	12
46	2.0203	0.394	470	12
47	2.184	0.415	475	13
48	2.368	0.443	481	14
49	2.5797	0.478	488	15
50	2.832	0.528	496	17
51	3.1484	0.601	506	19
52	3.5824	0.726	519	23
53	4.3037	1.013	542	32
54	5.5273	1.833	600	58
