GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
3,SCIENCE,650,32
3,SCIENCE,650,32
3,SCIENCE,666,26
3,SCIENCE,682,21
3,SCIENCE,693,19
3,SCIENCE,702,17
3,SCIENCE,710,16
3,SCIENCE,716,15
3,SCIENCE,722,14
3,SCIENCE,728,13
3,SCIENCE,732,13
3,SCIENCE,737,12
3,SCIENCE,741,12
3,SCIENCE,745,12
3,SCIENCE,749,11
3,SCIENCE,753,11
3,SCIENCE,756,11
3,SCIENCE,759,11
3,SCIENCE,763,11
3,SCIENCE,766,10
3,SCIENCE,769,10
3,SCIENCE,772,10
3,SCIENCE,775,10
3,SCIENCE,777,10
3,SCIENCE,780,10
3,SCIENCE,783,10
3,SCIENCE,786,10
3,SCIENCE,788,10
3,SCIENCE,791,10
3,SCIENCE,794,10
3,SCIENCE,797,10
3,SCIENCE,800,10
3,SCIENCE,802,10
3,SCIENCE,805,10
3,SCIENCE,807,10
3,SCIENCE,810,10
3,SCIENCE,813,10
3,SCIENCE,815,10
3,SCIENCE,818,10
3,SCIENCE,821,10
3,SCIENCE,824,10
3,SCIENCE,827,10
3,SCIENCE,830,10
3,SCIENCE,833,11
3,SCIENCE,837,11
3,SCIENCE,840,11
3,SCIENCE,843,11
3,SCIENCE,850,12
3,SCIENCE,851,12
3,SCIENCE,855,12
3,SCIENCE,859,13
3,SCIENCE,864,13
3,SCIENCE,869,14
3,SCIENCE,875,15
3,SCIENCE,881,16
3,SCIENCE,889,17
3,SCIENCE,898,19
3,SCIENCE,909,21
3,SCIENCE,924,26
3,SCIENCE,949,36
3,SCIENCE,990,63
4,SCIENCE,650,30
4,SCIENCE,650,30
4,SCIENCE,659,27
4,SCIENCE,675,23
4,SCIENCE,687,20
4,SCIENCE,696,18
4,SCIENCE,704,17
4,SCIENCE,711,15
4,SCIENCE,717,15
4,SCIENCE,723,14
4,SCIENCE,728,13
4,SCIENCE,732,13
4,SCIENCE,737,13
4,SCIENCE,741,12
4,SCIENCE,745,12
4,SCIENCE,748,12
4,SCIENCE,752,11
4,SCIENCE,755,11
4,SCIENCE,759,11
4,SCIENCE,762,11
4,SCIENCE,765,11
4,SCIENCE,768,11
4,SCIENCE,771,11
4,SCIENCE,774,10
4,SCIENCE,777,10
4,SCIENCE,780,10
4,SCIENCE,783,10
4,SCIENCE,785,10
4,SCIENCE,788,10
4,SCIENCE,791,10
4,SCIENCE,794,10
4,SCIENCE,796,10
4,SCIENCE,800,10
4,SCIENCE,802,10
4,SCIENCE,805,10
4,SCIENCE,808,10
4,SCIENCE,810,10
4,SCIENCE,813,10
4,SCIENCE,816,10
4,SCIENCE,819,11
4,SCIENCE,822,11
4,SCIENCE,825,11
4,SCIENCE,828,11
4,SCIENCE,832,11
4,SCIENCE,835,11
4,SCIENCE,839,12
4,SCIENCE,842,12
4,SCIENCE,846,12
4,SCIENCE,850,12
4,SCIENCE,854,13
4,SCIENCE,859,13
4,SCIENCE,864,14
4,SCIENCE,869,15
4,SCIENCE,875,15
4,SCIENCE,882,16
4,SCIENCE,890,18
4,SCIENCE,899,20
4,SCIENCE,911,22
4,SCIENCE,927,27
4,SCIENCE,954,38
4,SCIENCE,990,61
5,SCIENCE,650,27
5,SCIENCE,650,27
5,SCIENCE,650,27
5,SCIENCE,661,24
5,SCIENCE,674,21
5,SCIENCE,684,19
5,SCIENCE,693,18
5,SCIENCE,700,17
5,SCIENCE,706,16
5,SCIENCE,712,15
5,SCIENCE,718,14
5,SCIENCE,723,14
5,SCIENCE,727,14
5,SCIENCE,732,13
5,SCIENCE,736,13
5,SCIENCE,740,13
5,SCIENCE,744,12
5,SCIENCE,748,12
5,SCIENCE,751,12
5,SCIENCE,755,12
5,SCIENCE,758,12
5,SCIENCE,761,12
5,SCIENCE,765,11
5,SCIENCE,768,11
5,SCIENCE,771,11
5,SCIENCE,774,11
5,SCIENCE,777,11
5,SCIENCE,780,11
5,SCIENCE,783,11
5,SCIENCE,786,11
5,SCIENCE,789,11
5,SCIENCE,792,11
5,SCIENCE,795,11
5,SCIENCE,800,11
5,SCIENCE,802,11
5,SCIENCE,805,11
5,SCIENCE,808,11
5,SCIENCE,811,11
5,SCIENCE,814,11
5,SCIENCE,817,12
5,SCIENCE,821,12
5,SCIENCE,824,12
5,SCIENCE,827,12
5,SCIENCE,831,12
5,SCIENCE,835,12
5,SCIENCE,838,13
5,SCIENCE,842,13
5,SCIENCE,850,13
5,SCIENCE,851,14
5,SCIENCE,856,14
5,SCIENCE,861,14
5,SCIENCE,866,15
5,SCIENCE,872,16
5,SCIENCE,878,17
5,SCIENCE,886,18
5,SCIENCE,894,19
5,SCIENCE,904,21
5,SCIENCE,917,24
5,SCIENCE,934,29
5,SCIENCE,963,41
5,SCIENCE,990,57
6,SCIENCE,650,46
6,SCIENCE,676,30
6,SCIENCE,698,21
6,SCIENCE,710,18
6,SCIENCE,719,15
6,SCIENCE,727,14
6,SCIENCE,733,13
6,SCIENCE,738,12
6,SCIENCE,743,11
6,SCIENCE,747,11
6,SCIENCE,751,11
6,SCIENCE,755,10
6,SCIENCE,758,10
6,SCIENCE,761,10
6,SCIENCE,764,9
6,SCIENCE,767,9
6,SCIENCE,770,9
6,SCIENCE,773,9
6,SCIENCE,775,9
6,SCIENCE,778,9
6,SCIENCE,780,8
6,SCIENCE,783,8
