GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
3,SOCIAL_STUDIES,650,42
3,SOCIAL_STUDIES,670,30
3,SOCIAL_STUDIES,691,22
3,SOCIAL_STUDIES,704,18
3,SOCIAL_STUDIES,714,16
3,SOCIAL_STUDIES,721,14
3,SOCIAL_STUDIES,727,13
3,SOCIAL_STUDIES,733,12
3,SOCIAL_STUDIES,738,12
3,SOCIAL_STUDIES,742,11
3,SOCIAL_STUDIES,746,11
3,SOCIAL_STUDIES,750,10
3,SOCIAL_STUDIES,753,10
3,SOCIAL_STUDIES,757,10
3,SOCIAL_STUDIES,760,10
3,SOCIAL_STUDIES,763,9
3,SOCIAL_STUDIES,766,9
3,SOCIAL_STUDIES,768,9
3,SOCIAL_STUDIES,771,9
3,SOCIAL_STUDIES,774,9
3,SOCIAL_STUDIES,776,9
3,SOCIAL_STUDIES,779,9
3,SOCIAL_STUDIES,781,9
3,SOCIAL_STUDIES,784,8
3,SOCIAL_STUDIES,786,8
3,SOCIAL_STUDIES,788,8
3,SOCIAL_STUDIES,791,8
3,SOCIAL_STUDIES,793,8
3,SOCIAL_STUDIES,795,8
3,SOCIAL_STUDIES,797,8
3,SOCIAL_STUDIES,800,8
3,SOCIAL_STUDIES,802,8
3,SOCIAL_STUDIES,804,8
3,SOCIAL_STUDIES,806,8
3,SOCIAL_STUDIES,809,8
3,SOCIAL_STUDIES,811,8
3,SOCIAL_STUDIES,813,8
3,SOCIAL_STUDIES,816,8
3,SOCIAL_STUDIES,818,8
3,SOCIAL_STUDIES,821,9
3,SOCIAL_STUDIES,823,9
3,SOCIAL_STUDIES,826,9
3,SOCIAL_STUDIES,828,9
3,SOCIAL_STUDIES,831,9
3,SOCIAL_STUDIES,834,9
3,SOCIAL_STUDIES,836,9
3,SOCIAL_STUDIES,839,10
3,SOCIAL_STUDIES,843,10
3,SOCIAL_STUDIES,846,10
3,SOCIAL_STUDIES,850,10
3,SOCIAL_STUDIES,853,11
3,SOCIAL_STUDIES,857,11
3,SOCIAL_STUDIES,861,12
3,SOCIAL_STUDIES,866,12
3,SOCIAL_STUDIES,872,13
3,SOCIAL_STUDIES,878,14
3,SOCIAL_STUDIES,885,16
3,SOCIAL_STUDIES,895,18
3,SOCIAL_STUDIES,908,22
3,SOCIAL_STUDIES,929,30
3,SOCIAL_STUDIES,950,42
4,SOCIAL_STUDIES,650,43
4,SOCIAL_STUDIES,673,29
4,SOCIAL_STUDIES,694,21
4,SOCIAL_STUDIES,707,17
4,SOCIAL_STUDIES,716,15
4,SOCIAL_STUDIES,723,14
4,SOCIAL_STUDIES,729,13
4,SOCIAL_STUDIES,735,12
4,SOCIAL_STUDIES,740,11
4,SOCIAL_STUDIES,744,11
4,SOCIAL_STUDIES,748,10
4,SOCIAL_STUDIES,752,10
4,SOCIAL_STUDIES,755,10
4,SOCIAL_STUDIES,758,10
4,SOCIAL_STUDIES,761,9
