RAW_SCORE SS_3 SE_3 SS_4 SE_4 SS_5 SE_5 SS_6 SE_6 SS_7 SE_7 SS_8 SE_8
0 120 49 120 48 120 48 120 48 120 49 120 49
1 120 18 120 18 120 22 120 26 120 29 135 29
2 120 11 120 13 120 18 129 20 130 22 155 20
3 120 10 120 13 124 17 141 17 143 18 167 17
4 120 10 120 12 133 14 150 14 152 15 176 15
5 120 10 126 11 139 12 157 12 159 13 183 13
6 120 10 132 11 145 12 162 12 165 12 189 12
7 120 10 136 11 150 12 167 11 170 11 194 11
8 120 10 141 10 154 11 171 11 174 11 198 11
9 122 10 144 10 158 10 175 10 178 11 202 10
10 126 10 148 10 161 9 179 10 182 10 206 9
11 130 9 151 9 164 9 182 9 185 10 209 9
12 134 9 154 9 167 9 184 8 188 10 212 9
13 138 9 157 9 170 8 188 8 191 10 214 8
14 142 8 160 8 174 8 190 8 194 9 216 8
15 145 8 162 8 178 8 192 8 197 8 219 8
16 149 8 165 7 182 7 194 8 200 8 221 8
17 152 8 167 7 185 7 197 7 202 8 223 8
18 155 7 170 7 188 7 199 7 205 8 225 8
19 158 7 172 7 190 7 201 7 208 8 227 7
20 160 7 174 7 193 7 203 7 210 8 228 7
21 163 7 177 7 195 7 205 7 213 7 230 7
22 165 7 179 7 197 7 207 7 216 7 231 7
23 168 7 181 7 200 7 209 7 218 7 233 7
24 170 7 183 7 201 7 211 7 221 7 234 7
25 173 7 185 7 204 7 212 7 223 7 236 7
26 174 7 187 7 206 7 214 7 225 7 237 7
27 176 7 189 7 208 7 216 7 228 7 239 7
28 178 7 191 7 210 7 218 6 230 7 240 7
29 180 7 192 7 211 6 219 6 232 7 242 7
30 182 7 194 6 213 6 221 6 234 7 243 7
31 184 7 195 6 215 6 223 6 236 7 245 7
32 186 7 197 6 217 6 224 6 238 6 246 7
33 188 7 199 6 218 6 226 6 240 6 248 6
34 189 7 200 6 220 6 228 6 242 6 249 6
35 191 7 202 6 222 6 229 6 244 6 251 6
36 193 7 203 6 223 6 231 6 246 6 252 6
37 194 7 205 6 225 6 233 6 248 6 254 6
38 196 7 206 7 226 6 234 6 250 6 256 6
39 197 7 208 7 228 7 236 6 252 6 257 6
40 199 7 210 7 230 7 237 6 254 6 259 6
41 200 7 211 7 231 7 239 6 255 6 261 6
42 202 7 213 7 233 7 241 6 257 7 263 6
43 204 7 214 7 235 7 242 6 259 7 264 6
44 205 7 216 7 236 7 244 6 260 7 267 6
45 207 7 218 7 237 7 246 7 262 7 268 6
46 208 7 219 7 239 7 247 7 264 7 270 6
47 210 7 221 7 241 7 249 7 265 7 272 6
48 211 7 223 7 242 7 251 7 267 7 274 6
49 213 7 224 7 244 7 252 7 269 7 276 7
50 214 7 226 7 245 7 254 7 270 7 278 7
51 216 7 228 7 247 7 256 7 272 7 279 7
52 217 7 230 7 249 7 257 7 274 7 281 7
53 219 8 231 7 250 7 259 7 275 7 283 7
54 221 8 233 8 252 8 261 7 277 7 285 7
55 222 8 235 8 254 8 263 8 279 8 287 7
56 224 8 237 8 255 8 265 8 281 8 289 7
57 226 8 239 8 257 8 267 8 282 8 292 8
58 228 8 241 8 259 8 269 8 284 8 294 8
59 230 9 243 8 261 8 271 8 286 8 296 8
60 232 9 245 8 263 8 273 9 288 8 298 8
61 234 9 248 8 265 8 276 9 290 8 300 8
62 236 9 250 8 267 9 278 9 292 8 303 8
63 238 9 252 9 270 9 280 9 295 9 305 9
64 241 9 255 9 272 10 283 9 297 9 308 9
65 243 10 257 10 275 10 286 10 300 10 310 10
66 246 10 260 11 277 10 289 10 302 10 314 10
67 249 11 263 11 280 10 292 11 305 10 317 11
68 252 11 267 11 284 11 296 11 308 11 320 11
69 255 11 269 11 288 12 300 12 312 11 324 11
70 259 12 273 12 292 13 304 13 315 12 328 11
71 264 13 277 13 297 14 309 14 320 13 333 13
72 269 14 282 13 303 16 316 16 325 15 339 14
73 276 15 288 14 312 19 324 19 332 16 346 17
74 285 18 296 18 326 24 335 23 341 19 357 19
75 300 26 313 25 346 34 352 31 360 29 373 26
76 341 49 355 48 369 48 379 48 392 48 410 48
0 120 49 120 48 120 48 120 48 120 49 120 49
1 120 18 120 18 120 22 120 26 120 29 135 29
2 120 11 120 13 120 18 129 20 130 22 155 20
3 120 10 120 13 124 17 141 17 143 18 167 17
4 120 10 120 12 133 14 150 14 152 15 176 15
5 120 10 126 11 139 12 157 12 159 13 183 13
6 120 10 132 11 145 12 162 12 165 12 189 12
7 120 10 136 11 150 12 167 11 170 11 194 11
8 120 10 141 10 154 11 171 11 174 11 198 11
9 122 10 144 10 158 10 175 10 178 11 202 10
10 126 10 148 10 161 9 179 10 182 10 206 9
11 130 9 151 9 164 9 182 9 185 10 209 9
12 134 9 154 9 167 9 184 8 188 10 212 9
13 138 9 157 9 170 8 188 8 191 10 214 8
14 142 8 160 8 174 8 190 8 194 9 216 8
15 145 8 162 8 178 8 192 8 197 8 219 8
16 149 8 165 7 182 7 194 8 200 8 221 8
17 152 8 167 7 185 7 197 7 202 8 223 8
18 155 7 170 7 188 7 199 7 205 8 225 8
19 158 7 172 7 190 7 201 7 208 8 227 7
20 160 7 174 7 193 7 203 7 210 8 228 7
21 163 7 177 7 195 7 205 7 213 7 230 7
22 165 7 179 7 197 7 207 7 216 7 231 7
23 168 7 181 7 200 7 209 7 218 7 233 7
24 170 7 183 7 201 7 211 7 221 7 234 7
25 173 7 185 7 204 7 212 7 223 7 236 7
26 174 7 187 7 206 7 214 7 225 7 237 7
27 176 7 189 7 208 7 216 7 228 7 239 7
28 178 7 191 7 210 7 218 6 230 7 240 7
29 180 7 192 7 211 6 219 6 232 7 242 7
30 182 7 194 6 213 6 221 6 234 7 243 7
31 184 7 195 6 215 6 223 6 236 7 245 7
32 186 7 197 6 217 6 224 6 238 6 246 7
33 188 7 199 6 218 6 226 6 240 6 248 6
34 189 7 200 6 220 6 228 6 242 6 249 6
35 191 7 202 6 222 6 229 6 244 6 251 6
36 193 7 203 6 223 6 231 6 246 6 252 6
37 194 7 205 6 225 6 233 6 248 6 254 6
38 196 7 206 7 226 6 234 6 250 6 256 6
39 197 7 208 7 228 7 236 6 252 6 257 6
40 199 7 210 7 230 7 237 6 254 6 259 6
41 200 7 211 7 231 7 239 6 255 6 261 6
42 202 7 213 7 233 7 241 6 257 7 263 6
43 204 7 214 7 235 7 242 6 259 7 264 6
44 205 7 216 7 236 7 244 6 260 7 267 6
45 207 7 218 7 237 7 246 7 262 7 268 6
46 208 7 219 7 239 7 247 7 264 7 270 6
47 210 7 221 7 241 7 249 7 265 7 272 6
48 211 7 223 7 242 7 251 7 267 7 274 6
49 213 7 224 7 244 7 252 7 269 7 276 7
50 214 7 226 7 245 7 254 7 270 7 278 7
51 216 7 228 7 247 7 256 7 272 7 279 7
52 217 7 230 7 249 7 257 7 274 7 281 7
53 219 8 231 7 250 7 259 7 275 7 283 7
54 221 8 233 8 252 8 261 7 277 7 285 7
55 222 8 235 8 254 8 263 8 279 8 287 7
56 224 8 237 8 255 8 265 8 281 8 289 7
57 226 8 239 8 257 8 267 8 282 8 292 8
58 228 8 241 8 259 8 269 8 284 8 294 8
59 230 9 243 8 261 8 271 8 286 8 296 8
60 232 9 245 8 263 8 273 9 288 8 298 8
61 234 9 248 8 265 8 276 9 290 8 300 8
62 236 9 250 8 267 9 278 9 292 8 303 8
63 238 9 252 9 270 9 280 9 295 9 305 9
