RAW_SCORE SS_3 SE_3 SS_4 SE_4 SS_5 SE_5 SS_6 SE_6 SS_7 SE_7 SS_8 SE_8
0 120 47 120 46 120 46 120 47 120 46 120 46
1 120 16 120 15 120 20 120 23 120 22 120 19
2 120 11 120 14 120 14 120 19 120 19 121 19
3 120 11 120 14 120 14 122 17 131 17 133 16
4 120 11 121 14 123 13 131 15 140 14 142 14
5 120 11 128 12 130 12 138 14 147 13 149 13
6 120 11 133 11 135 11 144 13 153 12 155 12
7 120 11 139 11 140 11 149 13 158 11 163 11
8 125 11 143 10 146 11 155 12 162 11 171 10
9 130 11 146 10 154 9 162 11 166 10 177 10
10 135 10 150 9 160 9 167 11 170 10 182 9
11 139 10 153 9 166 9 172 10 174 9 187 9
12 143 9 156 8 171 8 176 9 177 9 191 8
13 147 8 158 8 175 8 180 9 181 9 194 8
14 151 8 161 8 178 8 184 8 184 8 197 8
15 154 8 164 8 181 8 187 8 187 8 200 8
16 157 8 166 8 184 8 190 8 190 8 203 8
17 160 8 169 8 187 8 193 8 193 8 206 8
18 164 8 171 8 190 7 196 8 195 8 208 8
19 167 8 174 8 193 7 198 8 198 8 211 8
20 169 8 175 8 194 7 201 8 201 8 213 8
21 172 8 178 8 197 7 202 8 203 8 215 8
22 175 8 181 7 199 7 205 8 205 8 218 8
23 177 8 183 7 201 7 207 8 208 8 219 8
24 180 8 185 7 203 7 210 8 210 8 221 8
25 182 8 188 7 205 7 212 8 212 8 223 8
26 185 8 190 7 206 7 214 8 214 8 225 8
27 187 8 192 7 208 8 216 8 216 8 226 8
28 189 8 195 7 210 8 218 8 218 8 228 8
29 192 8 197 7 212 8 220 8 220 8 230 8
30 194 8 199 7 214 8 221 8 223 8 231 8
31 196 8 201 7 215 8 223 8 225 8 233 8
32 198 8 204 8 217 8 225 8 227 8 234 8
33 201 8 206 8 219 8 227 8 229 8 236 8
34 203 8 208 8 221 8 229 8 231 8 237 8
35 205 8 211 8 222 8 231 8 233 8 239 8
36 207 8 213 8 224 8 233 8 235 8 241 8
37 209 9 217 8 226 8 235 8 237 8 242 8
38 212 9 218 8 228 8 237 8 239 8 244 8
39 214 9 220 8 230 9 239 8 242 8 246 8
40 216 9 223 8 232 9 242 8 244 8 248 8
41 219 10 226 8 234 9 244 8 247 9 249 9
42 221 10 229 9 237 9 247 8 249 9 251 9
43 224 10 232 9 239 9 249 9 252 9 254 9
44 227 10 235 9 242 9 252 9 256 9 256 9
45 230 10 238 10 245 9 255 10 259 10 258 9
46 233 10 242 10 248 10 258 10 263 11 261 10
47 236 11 246 10 252 10 262 10 267 11 264 10
48 241 11 249 11 256 10 267 11 271 12 267 10
49 246 12 256 11 261 11 270 11 277 12 271 11
50 251 13 263 13 266 11 275 12 283 13 274 11
51 258 14 270 14 272 12 281 12 291 14 279 11
52 266 16 280 16 280 14 288 14 300 16 284 12
53 276 18 294 21 291 17 297 16 312 18 293 14
54 291 26 312 29 308 22 310 21 329 26 305 17
55 313 37 333 41 333 35 332 31 354 39 331 27
56 329 47 341 46 351 46 360 47 369 47 364 47
