challenge_name,AdminID,Grade,Subject,ScaleForm,theta,RawScore,scaledscore,perflevel,LowScaledScore,HighScaledScore,GrowthTheta,Information,StandardErrorTheta,StandardErrorScaleScore,GrowthThetaLow,GrowthThetaHigh,GrowthThetaSe,scaleScoreUnrounded,scaleScoreUnroundedConstrained,
Operational,4,03,ela,01,-7.83025397057551,0,200,1,200,210.424445752322,-6.96824130571004,0.0617475441222864,4.02429820950706,10,-10.5303264464899,-3.40615616493019,3.56208514077985,200,200,
Operational,4,03,ela,01,-7.49304804830324,1,200,1,200,210.424445752322,-6.66976536218494,0.0816274918188735,3.5001106493798,10,-9.76786880436704,-3.57166192000283,3.0981034421821,200.848891504645,200.848891504645,
Operational,4,03,ela,01,-7.15584212603098,2,202,1,200,212.122228761612,-6.37128941865984,0.108206691797103,3.0399954963836,10,-9.06212449646887,-3.6804543408508,2.69083507780904,201.69778300929,201.69778300929,
Operational,4,03,ela,01,-6.81863620375871,3,202,1,200,212.122228761612,-6.07281347513473,0.143687199752292,2.63809821121642,10,-8.40791140994781,-3.73771554032166,2.33509793481308,202.546674513935,202.546674513935,
Operational,4,03,ela,01,-6.48143028148645,4,204,1,200,213.820011770902,-5.77433753160963,0.190853072089562,2.28902440212847,10,-7.8004547289987,-3.74822033422056,2.02611719738907,203.39556601858,203.39556601858,
Operational,4,03,ela,01,-6.14422435921419,5,204,1,200,213.820011770902,-5.47586158808453,0.253077081071088,1.98780414385953,10,-7.23535535196491,-3.71636782420416,1.75949376388038,204.244457523224,204.244457523224,
Operational,4,03,ela,01,-5.80701843694192,6,206,1,200,214.944840382129,-5.17738564455943,0.334185315449826,1.72984152729999,10,-6.70854523550187,-3.64622605361699,1.53115959094244,205.093349027869,205.093349027869,
Operational,4,03,ela,01,-5.46981251466966,7,206,1,200,214.944840382129,-4.87890970103433,0.438093882956285,1.51083280225107,9.05597017667802,-6.21621493909732,-3.54160446297133,1.337305238063,205.942240532514,205.942240532514,
Operational,4,03,ela,01,-5.13260659239739,8,206,1,200,214.944840382129,-4.58043375750923,0.568202383786784,1.32662590743878,7.95182937216738,-5.75468928884573,-3.40617822617272,1.17425553133651,206.791132037159,206.791132037159,
Operational,4,03,ela,01,-4.79540067012513,9,208,1,201.41676076899,214.712177819263,-4.28195781398412,0.726810730429925,1.17297656327697,7.03085130211072,-5.3202114843163,-3.24370414365194,1.03825367033218,207.640023541804,207.640023541804,
Operational,4,03,ela,01,-4.45819474785286,10,208,1,201.41676076899,214.712177819263,-3.98348187045902,0.915493390498784,1.04513500370791,6.26456574816163,-4.90857729654398,-3.05838644437407,0.925095426084955,208.488915046449,208.488915046449,
Operational,4,03,ela,01,-4.1209888255806,11,210,1,204.491795782253,215.03270882458,-3.68500592693392,1.13848423261265,0.937209085043163,5.6176550514503,-4.51457132736806,-2.85544052649978,0.829565400434143,209.337806551094,209.337806551094,
