Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
3	ela	-9.187031259	0	200	1	200	210.4478841	-8.169185164	0.03816159	4.472135955	10
3	ela	-8.782617887	1	200	1	200	210.4478841	-7.81122092	0.05267846	4.356958928	10
3	ela	-8.378204515	2	202	1	200	212.2394206	-7.453256677	0.072753965	3.707418971	10
3	ela	-7.973791142	3	202	1	200	212.2394206	-7.095292434	0.100459819	3.155032266	10
3	ela	-7.56937777	4	204	1	200	214.0309571	-6.73732819	0.138548877	2.686572071	10
3	ela	-7.164964398	5	204	1	200	214.0309571	-6.379363947	0.190574768	2.290695169	10
3	ela	-6.760551026	6	206	1	200	214.5763116	-6.021399703	0.260909235	1.957741173	9.423258563
3	ela	-6.356137654	7	206	1	200	214.5763116	-5.66343546	0.354485528	1.679580196	8.084377385
3	ela	-5.951724281	8	208	1	201.9268003	214.1970282	-5.305471217	0.475963331	1.449483421	6.976845179
3	ela	-5.547310909	9	208	1	201.9268003	214.1970282	-4.947506973	0.627933442	1.261953038	6.074199154
3	ela	-5.142897537	10	208	1	201.9268003	214.1970282	-4.58954273	0.808140134	1.112388941	5.354297471
3	ela	-4.738484165	11	210	1	205.7163779	214.8862919	-4.231578487	1.007210014	0.996414371	4.796073343
3	ela	-4.334070793	12	210	1	205.7163779	214.8862919	-3.873614243	1.211060257	0.908692877	4.373840657
3	ela	-3.909163294	13	212	1	208.2192098	215.966533	-3.497509738	1.423455505	0.838162163	4.034352902
3	ela	-3.456347319	14	212	1	208.2192098	215.966533	-3.0967022	1.680539422	0.771392919	3.712970349
3	ela	-3.094380632	15	214	1	210.7890626	217.3192018	-2.776309403	1.985527108	0.709679221	3.415921824
3	ela	-2.798979356	16	214	1	210.7890626	217.3192018	-2.51483661	2.388877209	0.646998221	3.114217349
3	ela	-2.553355735	17	216	1	213.6681062	219.0429259	-2.29742423	2.910516628	0.586158352	2.821374852
3	ela	-2.344973146	18	216	1	213.6681062	219.0429259	-2.112975542	3.553356045	0.530494196	2.55344478
