Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
10	mat	-90.00748868	0	200	1	200	210	-181.9623764	3.50E-58	4.472135955	10
10	mat	-78.85692681	1	202	1	200	211.5581923	-159.5037373	5.19E-51	4.472135955	10
10	mat	-67.70636494	2	202	1	200	211.5581923	-137.0450982	7.69E-44	4.472135955	10
10	mat	-56.55580307	3	204	1	200	213.635782	-114.5864592	1.14E-36	4.472135955	10
10	mat	-45.4052412	4	204	1	200	213.635782	-92.12782007	1.69E-29	4.472135955	10
10	mat	-34.25467933	5	206	1	200	215.7133716	-69.66918098	2.50E-22	4.472135955	10
10	mat	-23.10411746	6	206	1	200	215.7133716	-47.2105419	3.71E-15	4.472135955	10
10	mat	-11.95355559	7	208	1	200	217.2715639	-24.75190281	5.63E-08	4.472135955	10
10	mat	-2.408674908	8	210	1	205.324159	215.8914121	-5.527308314	0.641346945	1.248686696	5.283626536
10	mat	-1.597672575	9	214	1	211.7518476	216.3269879	-3.893847246	3.421435931	0.540624588	2.287570156
10	mat	-1.275594219	10	216	1	214.762806	217.6898426	-3.245140784	6.264248468	0.399544827	1.690612751
10	mat	-1.064383136	11	216	1	214.762806	217.6898426	-2.819735002	8.832679708	0.336475742	1.423745573
10	mat	-0.90253647	12	216	1	214.762806	217.6898426	-2.493755387	10.99314765	0.3016053	1.276196642
10	mat	-0.768294524	13	218	1	217.1353883	219.3445434	-2.223375163	12.75336155	0.280019106	1.184857964
10	mat	-0.651665124	14	218	1	217.1353883	219.3445434	-1.98846883	14.20767513	0.265300758	1.122579531
10	mat	-0.547393845	15	218	1	217.1353883	219.3445434	-1.778453313	15.48278032	0.254141462	1.075360679
10	mat	-0.452451621	16	218	1	217.1353883	219.3445434	-1.587227689	16.69732746	0.244723975	1.035512023
10	mat	-0.364960185	17	220	2	218.6274163	224.3230198	-1.411008894	17.93842267	0.236106462	1.859422056
10	mat	-0.283633882	18	220	2	218.6274163	224.3230198	-1.247207454	19.2540624	0.227897107	2.870600542
10	mat	-0.207528894	19	220	2	218.6274163	224.3230198	-1.093922402	20.65603874	0.220027255	3.813382784
10	mat	-0.135895773	20	222	2	219.3252126	228.7251849	-0.949644254	22.12915271	0.212577653	4.699986129
10	mat	-0.06809146	21	224	2	219.6413748	230.7248425	-0.81307781	23.64220775	0.205662914	5.541733826
10	mat	-0.003580493	22	226	2	219.9409404	232.637	-0.683144579	25.15644473	0.199377143	6.348029792
10	mat	0.058127833	23	228	2	221.7522842	234.479429	-0.558856221	26.63320468	0.19377078	6.363572401
10	mat	0.117446085	24	230	2	223.8617021	236.2661196	-0.439381773	28.03707144	0.188857256	6.202208744
10	mat	0.174749848	25	232	2	225.8827581	238.0088575	-0.323964763	29.33885417	0.184619864	6.063049708
10	mat	0.230374593	26	234	2	227.8276237	239.7175056	-0.211929505	30.51619034	0.181023452	5.944940954
10	mat	0.284594291	27	236	2	229.7067317	241.3792428	-0.10272419	31.55305217	0.17802431	5.836255527
10	mat	0.337682382	28	238	2	231.5307066	243.017953	0.004201927	32.4405098	0.175572367	5.743623245
10	mat	0.389862724	29	240	3	234.1784875	245.4518829	0.109299723	33.17508667	0.173617687	5.667419608
10	mat	0.441335401	30	240	3	234.1784875	245.4518829	0.212972191	33.75864507	0.172110552	5.605975845
10	mat	0.492288448	31	242	3	236.7581842	247.8734688	0.31559806	34.1978614	0.171001739	5.557642304
10	mat	0.542886621	32	244	3	238.4447934	249.4863845	0.417509167	34.50350379	0.170242662	5.520795567
10	mat	0.593278959	33	246	3	240.1130924	251.1023743	0.519005696	34.69000834	0.169784405	5.494640949
10	mat	0.643600909	34	248	3	242.5636267	253.5391843	0.620360455	34.7749795	0.169576848	5.487923885
10	mat	0.69397595	35	248	3	242.5636267	253.5391843	0.721822146	34.77865787	0.16956788	5.487633662
10	mat	0.744517106	36	250	3	245.010167	255.9941765	0.823618414	34.72331923	0.169702947	5.492004748
10	mat	0.795328396	37	252	3	246.6473536	257.6457465	0.925958765	34.632558	0.169925171	5.499196463
10	mat	0.84650635	38	254	3	248.2954683	259.3101207	1.029037626	34.53038645	0.17017638	5.507326207
10	mat	0.898141766	39	256	3	249.959298	260.3113275	1.133037871	34.44003526	0.170399457	5.176014708
10	mat	0.950322666	40	258	3	252.4976717	261.114029	1.238136789	34.38226839	0.170542544	4.600665893
10	mat	1.00314164	41	258	3	252.4976717	261.114029	1.34452087	34.37295458	0.170565648	4.015691398
10	mat	1.056686313	42	260	4	255.9722984	262.2039166	1.452366601	34.41960119	0.17045003	3.419721251
10	mat	1.111061924	43	260	4	255.9722984	262.2039166	1.561885945	34.51667907	0.170210167	2.811896951
10	mat	1.166402339	44	262	4	259.8521028	263.6192553	1.673348526	34.64011398	0.169906637	2.192023693
10	mat	1.222865555	45	262	4	259.8521028	263.6192553	1.78707257	34.74204167	0.169657214	1.729431337
10	mat	1.280673338	46	262	4	259.8521028	263.6192553	1.903504742	34.74837395	0.169641755	1.729273751
10	mat	1.340134965	47	264	4	261.9662556	265.4659932	2.023267964	34.56217129	0.170098111	1.733925699
10	mat	1.401672636	48	264	4	261.9662556	265.4659932	2.1472126	34.07545528	0.1713086	1.746265038
10	mat	1.465847805	49	264	4	261.9662556	265.4659932	2.276469492	33.18962006	0.17357967	1.769415601
10	mat	1.533408445	50	266	4	263.9351245	267.6699056	2.412545148	31.83972194	0.177221075	1.806534914
10	mat	1.60534446	51	266	4	263.9351245	267.6699056	2.557433363	30.01327303	0.182533811	1.86069124
10	mat	1.682927273	52	266	4	263.9351245	267.6699056	2.713694942	27.75392923	0.189818161	1.934945577
10	mat	1.767835049	53	268	4	265.8246534	270.0182565	2.884709921	25.14198953	0.19943445	2.032970946
10	mat	1.862354404	54	268	4	265.8246534	270.0182565	3.075083831	22.25872618	0.211958016	2.160632176
10	mat	1.969819298	55	270	4	267.6952824	272.5854064	3.291531692	19.15477702	0.228486976	2.329123097
10	mat	2.09571627	56	270	4	267.6952824	272.5854064	3.545104087	15.84318666	0.251234184	2.561000853
10	mat	2.250163031	57	272	4	269.451965	275.2608389	3.856179356	12.31794003	0.284925263	2.904436928
10	mat	2.456600519	58	274	4	270.9690465	277.9524727	4.271970515	8.522850788	0.342537053	3.491713082
10	mat	2.794452599	59	278	4	272.9822354	280	4.95244725	4.288387581	0.482895308	4.922480199
10	mat	4	60	280	4	270	280	7.380571886	0.304199354	1.813096237	10
