YEAR,GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
2009_2010,3,MATHEMATICS, 300  , 10.00  
2009_2010,3,MATHEMATICS, 300  , 10.00  
2009_2010,3,MATHEMATICS, 300  , 10.00  
2009_2010,3,MATHEMATICS, 300  , 10.00  
2009_2010,3,MATHEMATICS, 300  , 10.00  
2009_2010,3,MATHEMATICS, 300  , 10.00  
2009_2010,3,MATHEMATICS, 300  , 9.60  
2009_2010,3,MATHEMATICS, 303  , 7.60  
2009_2010,3,MATHEMATICS, 307  , 6.30  
2009_2010,3,MATHEMATICS, 310  , 5.50  
2009_2010,3,MATHEMATICS, 312  , 4.90  
2009_2010,3,MATHEMATICS, 314  , 4.50  
2009_2010,3,MATHEMATICS, 316  , 4.20  
2009_2010,3,MATHEMATICS, 318  , 3.90  
2009_2010,3,MATHEMATICS, 319  , 3.70  
2009_2010,3,MATHEMATICS, 320  , 3.60  
2009_2010,3,MATHEMATICS, 322  , 3.40  
2009_2010,3,MATHEMATICS, 323  , 3.30  
2009_2010,3,MATHEMATICS, 324  , 3.20  
2009_2010,3,MATHEMATICS, 325  , 3.10  
2009_2010,3,MATHEMATICS, 326  , 3.00  
2009_2010,3,MATHEMATICS, 327  , 2.90  
2009_2010,3,MATHEMATICS, 328  , 2.90  
2009_2010,3,MATHEMATICS, 328  , 2.80  
2009_2010,3,MATHEMATICS, 329  , 2.80  
2009_2010,3,MATHEMATICS, 330  , 2.70  
2009_2010,3,MATHEMATICS, 331  , 2.70  
2009_2010,3,MATHEMATICS, 331  , 2.60  
2009_2010,3,MATHEMATICS, 332  , 2.60  
2009_2010,3,MATHEMATICS, 333  , 2.60  
2009_2010,3,MATHEMATICS, 334  , 2.60  
2009_2010,3,MATHEMATICS, 335  , 2.50  
2009_2010,3,MATHEMATICS, 335  , 2.50  
2009_2010,3,MATHEMATICS, 336  , 2.50  
2009_2010,3,MATHEMATICS, 337  , 2.50  
2009_2010,3,MATHEMATICS, 337  , 2.50  
2009_2010,3,MATHEMATICS, 338  , 2.50  
2009_2010,3,MATHEMATICS, 339  , 2.50  
