CONTENT_AREA,GRADE,a,b
ELA,3,36.224,735.3872
ELA,4,30.7863,740.8719
ELA,5,29.469,740.5729
ELA,6,28.7257,739.2078
ELA,7,33.8845,739.8211
ELA,8,34.3289,739.2413
MATHEMATICS,3,31.8492,739.5025
MATHEMATICS,4,29.5578,737.7246
MATHEMATICS,5,28.9805,736.8921
MATHEMATICS,6,28.6582,736.396
MATHEMATICS,7,25.6779,734.6215
MATHEMATICS,8,33.5616,728.2487
ALGEBRA_I,EOCT,30.3269,733.4961
ALGEBRA_II,EOCT,35.6176,719.1765
GEOMETRY,EOCT,25.2016,731.4466
INTEGRATED_MATH_1,EOCT,33.2624,729.823
INTEGRATED_MATH_2,EOCT,29.3118,727.254
INTEGRATED_MATH_3,EOCT,39.5288,716.108
ELA,9,34.256,736.9245
ELA,10,42.4556,735.4674
ELA,11,36.6354,739.8923
