GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
3,MATHEMATICS,200,51
3,MATHEMATICS,277,29
3,MATHEMATICS,298,21
3,MATHEMATICS,311,17
3,MATHEMATICS,321,16
3,MATHEMATICS,329,14
3,MATHEMATICS,336,13
3,MATHEMATICS,342,13
3,MATHEMATICS,348,12
3,MATHEMATICS,353,12
3,MATHEMATICS,358,11
3,MATHEMATICS,362,11
3,MATHEMATICS,367,11
3,MATHEMATICS,371,11
3,MATHEMATICS,375,11
3,MATHEMATICS,379,11
3,MATHEMATICS,383,11
3,MATHEMATICS,388,11
3,MATHEMATICS,392,11
3,MATHEMATICS,396,11
3,MATHEMATICS,400,11
3,MATHEMATICS,404,11
3,MATHEMATICS,408,11
3,MATHEMATICS,413,11
3,MATHEMATICS,417,12
3,MATHEMATICS,422,12
3,MATHEMATICS,428,12
3,MATHEMATICS,436,13
3,MATHEMATICS,440,14
3,MATHEMATICS,447,15
3,MATHEMATICS,456,17
3,MATHEMATICS,468,19
3,MATHEMATICS,483,23
3,MATHEMATICS,507,30
3,MATHEMATICS,575,52
4,MATHEMATICS,200,77
4,MATHEMATICS,226,43
4,MATHEMATICS,258,31
4,MATHEMATICS,277,26
4,MATHEMATICS,291,23
4,MATHEMATICS,303,21
4,MATHEMATICS,313,20
4,MATHEMATICS,322,19
4,MATHEMATICS,329,18
4,MATHEMATICS,337,17
4,MATHEMATICS,344,17
4,MATHEMATICS,350,16
4,MATHEMATICS,356,16
4,MATHEMATICS,362,16
4,MATHEMATICS,368,15
4,MATHEMATICS,375,15
4,MATHEMATICS,379,15
4,MATHEMATICS,384,15
4,MATHEMATICS,390,15
4,MATHEMATICS,395,15
4,MATHEMATICS,400,15
4,MATHEMATICS,406,15
4,MATHEMATICS,412,16
4,MATHEMATICS,418,16
4,MATHEMATICS,424,16
4,MATHEMATICS,430,17
4,MATHEMATICS,437,17
4,MATHEMATICS,447,18
4,MATHEMATICS,453,19
4,MATHEMATICS,463,21
4,MATHEMATICS,474,23
4,MATHEMATICS,488,26
4,MATHEMATICS,507,31
4,MATHEMATICS,537,43
4,MATHEMATICS,575,77
5,MATHEMATICS,200,57
5,MATHEMATICS,269,32
5,MATHEMATICS,292,23
5,MATHEMATICS,306,19
5,MATHEMATICS,317,17
5,MATHEMATICS,326,16
5,MATHEMATICS,333,15
5,MATHEMATICS,340,14
5,MATHEMATICS,346,13
5,MATHEMATICS,351,13
