vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AK	AK	Reading	1	1	Far Below	0	66	0
AK	AK	Reading	1	2	Below	67	82	0
AK	AK	Reading	1	3	Proficient	83	183	0
AK	AK	Reading	1	4	Advanced	184	1400	0
AK	AK	Reading	2	1	Far Below	0	94	0
AK	AK	Reading	2	2	Below	95	190	0
AK	AK	Reading	2	3	Proficient	191	341	0
AK	AK	Reading	2	4	Advanced	342	1400	0
AK	AK	Reading	3	1	Far Below	0	177	1
AK	AK	Reading	3	2	Below	178	282	1
AK	AK	Reading	3	3	Proficient	283	453	1
AK	AK	Reading	3	4	Advanced	454	1400	1
AK	AK	Reading	4	1	Far Below	0	238	1
AK	AK	Reading	4	2	Below	239	347	1
AK	AK	Reading	4	3	Proficient	348	571	1
AK	AK	Reading	4	4	Advanced	572	1400	1
AK	AK	Reading	5	1	Far Below	0	245	1
AK	AK	Reading	5	2	Below	246	405	1
AK	AK	Reading	5	3	Proficient	406	726	1
AK	AK	Reading	5	4	Advanced	727	1400	1
AK	AK	Reading	6	1	Far Below	0	304	1
AK	AK	Reading	6	2	Below	305	502	1
AK	AK	Reading	6	3	Proficient	503	812	1
AK	AK	Reading	6	4	Advanced	813	1400	1
AK	AK	Reading	7	1	Far Below	0	351	1
AK	AK	Reading	7	2	Below	352	585	1
AK	AK	Reading	7	3	Proficient	586	909	1
AK	AK	Reading	7	4	Advanced	910	1400	1
AK	AK	Reading	8	1	Far Below	0	415	0
AK	AK	Reading	8	2	Below	416	660	0
AK	AK	Reading	8	3	Proficient	661	1046	0
AK	AK	Reading	8	4	Advanced	1047	1400	0
AK	AK	Reading	9	1	Far Below	0	484	0
AK	AK	Reading	9	2	Below	485	769	0
AK	AK	Reading	9	3	Proficient	770	1161	0
AK	AK	Reading	9	4	Advanced	1162	1400	0
AK	AK	Reading	10	1	Far Below	0	497	0
AK	AK	Reading	10	2	Below	498	802	0
AK	AK	Reading	10	3	Proficient	803	1204	0
AK	AK	Reading	10	4	Advanced	1205	1400	0
AK	AK	Reading	11	1	Far Below	0	522	0
AK	AK	Reading	11	2	Below	523	847	0
AK	AK	Reading	11	3	Proficient	848	1231	0
AK	AK	Reading	11	4	Advanced	1232	1400	0
AK	AK	Reading	12	1	Far Below	0	531	0
AK	AK	Reading	12	2	Below	532	882	0
AK	AK	Reading	12	3	Proficient	883	1286	0
AK	AK	Reading	12	4	Advanced	1287	1400	0
AL	AL	Math	1	1	Level I	0	224	0
AL	AL	Math	1	2	Level II	225	335	0
AL	AL	Math	1	3	Level III	336	398	0
AL	AL	Math	1	4	Level IV	399	1400	0
AL	AL	Math	2	1	Level I	0	350	0
AL	AL	Math	2	2	Level II	351	452	0
AL	AL	Math	2	3	Level III	453	509	0
AL	AL	Math	2	4	Level IV	510	1400	0
AL	AL	Math	3	1	Level I	0	413	1
AL	AL	Math	3	2	Level II	414	533	1
AL	AL	Math	3	3	Level III	534	601	1
AL	AL	Math	3	4	Level IV	602	1400	1
AL	AL	Math	4	1	Level I	0	450	1
AL	AL	Math	4	2	Level II	451	585	1
AL	AL	Math	4	3	Level III	586	661	1
AL	AL	Math	4	4	Level IV	662	1400	1
AL	AL	Math	5	1	Level I	0	451	1
AL	AL	Math	5	2	Level II	452	586	1
AL	AL	Math	5	3	Level III	587	702	1
AL	AL	Math	5	4	Level IV	703	1400	1
AL	AL	Math	6	1	Level I	0	465	1
AL	AL	Math	6	2	Level II	466	688	1
AL	AL	Math	6	3	Level III	689	796	1
AL	AL	Math	6	4	Level IV	797	1400	1
AL	AL	Math	7	1	Level I	0	466	1
AL	AL	Math	7	2	Level II	467	711	1
AL	AL	Math	7	3	Level III	712	819	1
AL	AL	Math	7	4	Level IV	820	1400	1
AL	AL	Math	8	1	Level I	0	478	1
AL	AL	Math	8	2	Level II	479	712	1
AL	AL	Math	8	3	Level III	713	847	1
AL	AL	Math	8	4	Level IV	848	1400	1
AL	AL	Math	9	1	Level I	0	568	0
AL	AL	Math	9	2	Level II	569	724	0
AL	AL	Math	9	3	Level III	725	849	0
AL	AL	Math	9	4	Level IV	850	1400	0
AL	AL	Math	10	1	Level I	0	569	0
AL	AL	Math	10	2	Level II	570	727	0
AL	AL	Math	10	3	Level III	728	856	0
AL	AL	Math	10	4	Level IV	857	1400	0
AL	AL	Math	11	1	Level I	0	596	0
AL	AL	Math	11	2	Level II	597	742	0
AL	AL	Math	11	3	Level III	743	869	0
AL	AL	Math	11	4	Level IV	870	1400	0
AL	AL	Math	12	1	Level I	0	606	0
AL	AL	Math	12	2	Level II	607	748	0
AL	AL	Math	12	3	Level III	749	887	0
AL	AL	Math	12	4	Level IV	888	1400	0
AL	AL	Reading	1	1	Level I	0	64	0
AL	AL	Reading	1	2	Level II	65	84	0
AL	AL	Reading	1	3	Level III	85	166	0
AL	AL	Reading	1	4	Level IV	167	1400	0
AL	AL	Reading	2	1	Level I	0	92	0
AL	AL	Reading	2	2	Level II	93	197	0
AL	AL	Reading	2	3	Level III	198	325	0
AL	AL	Reading	2	4	Level IV	326	1400	0
AL	AL	Reading	3	1	Level I	0	128	1
AL	AL	Reading	3	2	Level II	129	278	1
