CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinRasch,MaxRasch,Linked,ProficiencyFlag
US,AK,AK,READING,1,1,Far Below Proficient,-999.999,-4.327,0,-1
US,AK,AK,READING,1,2,Below Proficient,-4.327,-2.538,0,-1
US,AK,AK,READING,1,3,Proficient,-2.538,-0.508,0,0
US,AK,AK,READING,1,4,Advanced,-0.508,999.999,0,1
US,AK,AK,READING,10,1,Far Below Proficient,-999.999,1.3135,1,-1
US,AK,AK,READING,10,2,Below Proficient,1.3135,2.839,1,-1
US,AK,AK,READING,10,3,Proficient,2.839,4.9645,1,0
US,AK,AK,READING,10,4,Advanced,4.9645,999.999,1,1
US,AK,AK,READING,11,1,Far Below Proficient,-999.999,1.397,0,-1
US,AK,AK,READING,11,2,Below Proficient,1.397,3.009,0,-1
US,AK,AK,READING,11,3,Proficient,3.009,5.102,0,0
US,AK,AK,READING,11,4,Advanced,5.102,999.999,0,1
US,AK,AK,READING,12,1,Far Below Proficient,-999.999,1.4965,0,-1
US,AK,AK,READING,12,2,Below Proficient,1.4965,3.149,0,-1
US,AK,AK,READING,12,3,Proficient,3.149,5.3305,0,0
US,AK,AK,READING,12,4,Advanced,5.3305,999.999,0,1
US,AK,AK,READING,2,1,Far Below Proficient,-999.999,-2.187,0,-1
US,AK,AK,READING,2,2,Below Proficient,-2.187,-0.372,0,-1
US,AK,AK,READING,2,3,Proficient,-0.372,1.351,0,0
US,AK,AK,READING,2,4,Advanced,1.351,999.999,0,1
US,AK,AK,READING,3,1,Far Below Proficient,-999.999,-0.8295,1,-1
US,AK,AK,READING,3,2,Below Proficient,-0.8295,0.875,1,-1
US,AK,AK,READING,3,3,Proficient,0.875,2.469,1,0
US,AK,AK,READING,3,4,Advanced,2.469,999.999,1,1
US,AK,AK,READING,4,1,Far Below Proficient,-999.999,-0.0005,1,-1
US,AK,AK,READING,4,2,Below Proficient,-0.0005,1.433,1,-1
US,AK,AK,READING,4,3,Proficient,1.433,2.7075,1,0
US,AK,AK,READING,4,4,Advanced,2.7075,999.999,1,1
US,AK,AK,READING,5,1,Far Below Proficient,-999.999,0.141,1,-1
US,AK,AK,READING,5,2,Below Proficient,0.141,1.834,1,-1
US,AK,AK,READING,5,3,Proficient,1.834,3.689,1,0
US,AK,AK,READING,5,4,Advanced,3.689,999.999,1,1
US,AK,AK,READING,6,1,Far Below Proficient,-999.999,0.712,1,-1
US,AK,AK,READING,6,2,Below Proficient,0.712,2.2155,1,-1
US,AK,AK,READING,6,3,Proficient,2.2155,4.171,1,0
US,AK,AK,READING,6,4,Advanced,4.171,999.999,1,1
US,AK,AK,READING,7,1,Far Below Proficient,-999.999,0.7215,1,-1
US,AK,AK,READING,7,2,Below Proficient,0.7215,2.222,1,-1
US,AK,AK,READING,7,3,Proficient,2.222,4.173,1,0
US,AK,AK,READING,7,4,Advanced,4.173,999.999,1,1
US,AK,AK,READING,8,1,Far Below Proficient,-999.999,0.9315,1,-1
US,AK,AK,READING,8,2,Below Proficient,0.9315,2.8235,1,-1
US,AK,AK,READING,8,3,Proficient,2.8235,4.772,1,0
US,AK,AK,READING,8,4,Advanced,4.772,999.999,1,1
US,AK,AK,READING,9,1,Far Below Proficient,-999.999,1.0255,1,-1
US,AK,AK,READING,9,2,Below Proficient,1.0255,2.8265,1,-1
US,AK,AK,READING,9,3,Proficient,2.8265,4.7765,1,0
US,AK,AK,READING,9,4,Advanced,4.7765,999.999,1,1
US,AL,AL,READING,1,1,Level 1,-999.9999,-5.1185,0,-1
US,AL,AL,READING,1,2,Level 2,-5.1185,-2.7426,0,-1
US,AL,AL,READING,1,3,Level 3,-2.7426,-0.8558,0,0
US,AL,AL,READING,1,4,Level 4,-0.8558,999.9999,0,1
US,AL,AL,READING,10,1,Level 1,-999.9999,0.2856,0,-1
US,AL,AL,READING,10,2,Level 2,0.2856,3.2905,0,-1
US,AL,AL,READING,10,3,Level 3,3.2905,4.991,0,0
US,AL,AL,READING,10,4,Level 4,4.991,999.9999,0,1
US,AL,AL,READING,11,1,Level 1,-999.9999,0.3089,0,-1
US,AL,AL,READING,11,2,Level 2,0.3089,3.4303,0,-1
US,AL,AL,READING,11,3,Level 3,3.4303,5.1307,0,0
US,AL,AL,READING,11,4,Level 4,5.1307,999.9999,0,1
US,AL,AL,READING,12,1,Level 1,-999.9999,0.3322,0,-1
US,AL,AL,READING,12,2,Level 2,0.3322,3.6166,0,-1
US,AL,AL,READING,12,3,Level 3,3.6166,5.3404,0,0
US,AL,AL,READING,12,4,Level 4,5.3404,999.9999,0,1
US,AL,AL,READING,2,1,Level 1,-999.9999,-2.9988,1,-1
US,AL,AL,READING,2,2,Level 2,-2.9988,-0.4831,1,-1
US,AL,AL,READING,2,3,Level 3,-0.4831,1.1475,1,0
US,AL,AL,READING,2,4,Level 4,1.1475,999.9999,1,1
US,AL,AL,READING,3,1,Level 1,-999.9999,-2.7193,1,-1
US,AL,AL,READING,3,2,Level 2,-2.7193,0.239,1,-1
US,AL,AL,READING,3,3,Level 3,0.239,2.056,1,0
US,AL,AL,READING,3,4,Level 4,2.056,999.9999,1,1
US,AL,AL,READING,4,1,Level 1,-999.9999,-1.7875,1,-1
US,AL,AL,READING,4,2,Level 2,-1.7875,0.8913,1,-1
US,AL,AL,READING,4,3,Level 3,0.8913,2.7781,1,0
US,AL,AL,READING,4,4,Level 4,2.7781,999.9999,1,1
US,AL,AL,READING,5,1,Level 1,-999.9999,-0.9955,1,-1
US,AL,AL,READING,5,2,Level 2,-0.9955,1.7764,1,-1
