CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,Linked,ProficiencyFlag,MinSS,MaxSS,MinRasch,MaxRasch
US,AK,AK,READING,1,1,Far Below Proficient,0,-1,610,772,-999.999,-4.327
US,AK,AK,READING,1,2,Below Proficient,0,-1,772,848,-4.327,-2.538
US,AK,AK,READING,1,3,Proficient,0,0,848,936,-2.538,-0.508
US,AK,AK,READING,1,4,Advanced,0,1,936,1256,-0.508,999.999
US,AK,AK,READING,10,1,Far Below Proficient,1,-1,610,1014,-999.999,1.3135
US,AK,AK,READING,10,2,Below Proficient,1,-1,1014,1080,1.3135,2.839
US,AK,AK,READING,10,3,Proficient,1,0,1080,1171,2.839,4.9645
US,AK,AK,READING,10,4,Advanced,1,1,1171,1400,4.9645,999.999
US,AK,AK,READING,11,1,Far Below Proficient,0,-1,615,1017,-999.999,1.397
US,AK,AK,READING,11,2,Below Proficient,0,-1,1017,1087,1.397,3.009
US,AK,AK,READING,11,3,Proficient,0,0,1087,1177,3.009,5.102
US,AK,AK,READING,11,4,Advanced,0,1,1177,1400,5.102,999.999
US,AK,AK,READING,12,1,Far Below Proficient,0,-1,615,1022,-999.999,1.4965
US,AK,AK,READING,12,2,Below Proficient,0,-1,1022,1093,1.4965,3.149
US,AK,AK,READING,12,3,Proficient,0,0,1093,1187,3.149,5.3305
US,AK,AK,READING,12,4,Advanced,0,1,1187,1400,5.3305,999.999
US,AK,AK,READING,2,1,Far Below Proficient,0,-1,610,864,-999.999,-2.187
US,AK,AK,READING,2,2,Below Proficient,0,-1,864,942,-2.187,-0.372
US,AK,AK,READING,2,3,Proficient,0,0,942,1016,-0.372,1.351
US,AK,AK,READING,2,4,Advanced,0,1,1016,1341,1.351,999.999
US,AK,AK,READING,3,1,Far Below Proficient,1,-1,610,922,-999.999,-0.8295
US,AK,AK,READING,3,2,Below Proficient,1,-1,922,995,-0.8295,0.875
US,AK,AK,READING,3,3,Proficient,1,0,995,1064,0.875,2.469
US,AK,AK,READING,3,4,Advanced,1,1,1064,1339,2.469,999.999
US,AK,AK,READING,4,1,Far Below Proficient,1,-1,610,957,-999.999,-5e-04
US,AK,AK,READING,4,2,Below Proficient,1,-1,957,1019,-5e-04,1.433
US,AK,AK,READING,4,3,Proficient,1,0,1019,1074,1.433,2.7075
US,AK,AK,READING,4,4,Advanced,1,1,1074,1346,2.7075,999.999
US,AK,AK,READING,5,1,Far Below Proficient,1,-1,610,964,-999.999,0.141
US,AK,AK,READING,5,2,Below Proficient,1,-1,964,1036,0.141,1.834
US,AK,AK,READING,5,3,Proficient,1,0,1036,1116,1.834,3.689
US,AK,AK,READING,5,4,Advanced,1,1,1116,1355,3.689,999.999
US,AK,AK,READING,6,1,Far Below Proficient,1,-1,610,988,-999.999,0.712
US,AK,AK,READING,6,2,Below Proficient,1,-1,988,1052,0.712,2.2155
US,AK,AK,READING,6,3,Proficient,1,0,1052,1137,2.2155,4.171
US,AK,AK,READING,6,4,Advanced,1,1,1137,1393,4.171,999.999
US,AK,AK,READING,7,1,Far Below Proficient,1,-1,610,989,-999.999,0.7215
US,AK,AK,READING,7,2,Below Proficient,1,-1,989,1053,0.7215,2.222
US,AK,AK,READING,7,3,Proficient,1,0,1053,1136,2.222,4.173
US,AK,AK,READING,7,4,Advanced,1,1,1136,1385,4.173,999.999
US,AK,AK,READING,8,1,Far Below Proficient,1,-1,610,998,-999.999,0.9315
US,AK,AK,READING,8,2,Below Proficient,1,-1,998,1079,0.9315,2.8235
US,AK,AK,READING,8,3,Proficient,1,0,1079,1163,2.8235,4.772
US,AK,AK,READING,8,4,Advanced,1,1,1163,1400,4.772,999.999
US,AK,AK,READING,9,1,Far Below Proficient,1,-1,610,1002,-999.999,1.0255
US,AK,AK,READING,9,2,Below Proficient,1,-1,1002,1079,1.0255,2.8265
US,AK,AK,READING,9,3,Proficient,1,0,1079,1163,2.8265,4.7765
US,AK,AK,READING,9,4,Advanced,1,1,1163,1400,4.7765,999.999
US,AL,AL,READING,1,1,Level 1,0,-1,610,738,-999.9999,-5.1185
US,AL,AL,READING,1,2,Level 2,0,-1,738,840,-5.1185,-2.7426
US,AL,AL,READING,1,3,Level 3,0,0,840,921,-2.7426,-0.8558
US,AL,AL,READING,1,4,Level 4,0,1,921,1256,-0.8558,999.9999
US,AL,AL,READING,10,1,Level 1,0,-1,610,970,-999.9999,0.2856
US,AL,AL,READING,10,2,Level 2,0,-1,970,1099,0.2856,3.2905
US,AL,AL,READING,10,3,Level 3,0,0,1099,1172,3.2905,4.991
US,AL,AL,READING,10,4,Level 4,0,1,1172,1400,4.991,999.9999
US,AL,AL,READING,11,1,Level 1,0,-1,615,971,-999.9999,0.3089
US,AL,AL,READING,11,2,Level 2,0,-1,971,1105,0.3089,3.4303
US,AL,AL,READING,11,3,Level 3,0,0,1105,1178,3.4303,5.1307
US,AL,AL,READING,11,4,Level 4,0,1,1178,1400,5.1307,999.9999
US,AL,AL,READING,12,1,Level 1,0,-1,615,972,-999.9999,0.3322
US,AL,AL,READING,12,2,Level 2,0,-1,972,1113,0.3322,3.6166
US,AL,AL,READING,12,3,Level 3,0,0,1113,1187,3.6166,5.3404
US,AL,AL,READING,12,4,Level 4,0,1,1187,1400,5.3404,999.9999
US,AL,AL,READING,2,1,Level 1,1,-1,610,829,-999.9999,-2.9988
US,AL,AL,READING,2,2,Level 2,1,-1,829,937,-2.9988,-0.4831
US,AL,AL,READING,2,3,Level 3,1,0,937,1007,-0.4831,1.1475
US,AL,AL,READING,2,4,Level 4,1,1,1007,1341,1.1475,999.9999
US,AL,AL,READING,3,1,Level 1,1,-1,610,841,-999.9999,-2.7193
US,AL,AL,READING,3,2,Level 2,1,-1,841,968,-2.7193,0.239
US,AL,AL,READING,3,3,Level 3,1,0,968,1046,0.239,2.056
US,AL,AL,READING,3,4,Level 4,1,1,1046,1339,2.056,999.9999
US,AL,AL,READING,4,1,Level 1,1,-1,610,881,-999.9999,-1.7875
US,AL,AL,READING,4,2,Level 2,1,-1,881,996,-1.7875,0.8913
US,AL,AL,READING,4,3,Level 3,1,0,996,1077,0.8913,2.7781
US,AL,AL,READING,4,4,Level 4,1,1,1077,1346,2.7781,999.9999
US,AL,AL,READING,5,1,Level 1,1,-1,610,915,-999.9999,-0.9955
US,AL,AL,READING,5,2,Level 2,1,-1,915,1034,-0.9955,1.7764
US,AL,AL,READING,5,3,Level 3,1,0,1034,1118,1.7764,3.7331
US,AL,AL,READING,5,4,Level 4,1,1,1118,1355,3.7331,999.9999
US,AL,AL,READING,6,1,Level 1,1,-1,610,953,-999.9999,-0.1104
US,AL,AL,READING,6,2,Level 2,1,-1,953,1058,-0.1104,2.3355
US,AL,AL,READING,6,3,Level 3,1,0,1058,1143,2.3355,4.3154
US,AL,AL,READING,6,4,Level 4,1,1,1143,1393,4.3154,999.9999
US,AL,AL,READING,7,1,Level 1,1,-1,610,954,-999.9999,-0.0871
US,AL,AL,READING,7,2,Level 2,1,-1,954,1068,-0.0871,2.5684
US,AL,AL,READING,7,3,Level 3,1,0,1068,1152,2.5684,4.5251
US,AL,AL,READING,7,4,Level 4,1,1,1152,1385,4.5251,999.9999
US,AL,AL,READING,8,1,Level 1,1,-1,610,968,-999.9999,0.239
US,AL,AL,READING,8,2,Level 2,1,-1,968,1077,0.239,2.7781
US,AL,AL,READING,8,3,Level 3,1,0,1077,1154,2.7781,4.5717
US,AL,AL,READING,8,4,Level 4,1,1,1154,1400,4.5717,999.9999
US,AL,AL,READING,9,1,Level 1,0,-1,610,969,-999.9999,0.2623
US,AL,AL,READING,9,2,Level 2,0,-1,969,1092,0.2623,3.1275
US,AL,AL,READING,9,3,Level 3,0,0,1092,1164,3.1275,4.8046
US,AL,AL,READING,9,4,Level 4,0,1,1164,1400,4.8046,999.9999
US,AR,AR,READING,1,1,Need Support,0,-1,610,835,-999.999,-2.857
US,AR,AR,READING,1,2,Close,0,-1,835,876,-2.857,-1.915
US,AR,AR,READING,1,3,Ready,0,0,876,918,-1.915,-0.9135
US,AR,AR,READING,1,4,Exceeding,0,1,918,1256,-0.9135,999.999
US,AR,AR,READING,10,1,Need Support,1,-1,610,1113,-999.999,3.621
US,AR,AR,READING,10,2,Close,1,-1,1113,1152,3.621,4.5245
US,AR,AR,READING,10,3,Ready,1,0,1152,1211,4.5245,5.92
US,AR,AR,READING,10,4,Exceeding,1,1,1211,1400,5.92,999.999
US,AR,AR,READING,11,1,Need Support,0,-1,615,1119,-999.999,3.762
US,AR,AR,READING,11,2,Close,0,-1,1119,1158,3.762,4.66
US,AR,AR,READING,11,3,Ready,0,0,1158,1215,4.66,5.994
US,AR,AR,READING,11,4,Exceeding,0,1,1215,1400,5.994,999.999
US,AR,AR,READING,12,1,Need Support,0,-1,615,1128,-999.999,3.975
US,AR,AR,READING,12,2,Close,0,-1,1128,1169,3.975,4.9095
US,AR,AR,READING,12,3,Ready,0,0,1169,1218,4.9095,6.0675
US,AR,AR,READING,12,4,Exceeding,0,1,1218,1400,6.0675,999.999
US,AR,AR,READING,2,1,Need Support,0,-1,610,920,-999.999,-0.876
US,AR,AR,READING,2,2,Close,0,-1,920,962,-0.876,0.0895
US,AR,AR,READING,2,3,Ready,0,0,962,999,0.0895,0.9655
US,AR,AR,READING,2,4,Exceeding,0,1,999,1341,0.9655,999.999
US,AR,AR,READING,3,1,Need Support,1,-1,610,969,-999.999,0.2575
US,AR,AR,READING,3,2,Close,1,-1,969,1008,0.2575,1.1785
US,AR,AR,READING,3,3,Ready,1,0,1008,1045,1.1785,2.0455
US,AR,AR,READING,3,4,Exceeding,1,1,1045,1339,2.0455,999.999
US,AR,AR,READING,4,1,Need Support,1,-1,610,982,-999.999,0.5745
US,AR,AR,READING,4,2,Close,1,-1,982,1035,0.5745,1.808
US,AR,AR,READING,4,3,Ready,1,0,1035,1074,1.808,2.723
US,AR,AR,READING,4,4,Exceeding,1,1,1074,1346,2.723,999.999
US,AR,AR,READING,5,1,Need Support,1,-1,610,1020,-999.999,1.457
US,AR,AR,READING,5,2,Close,1,-1,1020,1068,1.457,2.5785
US,AR,AR,READING,5,3,Ready,1,0,1068,1106,2.5785,3.457
US,AR,AR,READING,5,4,Exceeding,1,1,1106,1355,3.457,999.999
US,AR,AR,READING,6,1,Need Support,1,-1,610,1028,-999.999,1.639
US,AR,AR,READING,6,2,Close,1,-1,1028,1074,1.639,2.7285
US,AR,AR,READING,6,3,Ready,1,0,1074,1119,2.7285,3.758
US,AR,AR,READING,6,4,Exceeding,1,1,1119,1393,3.758,999.999
US,AR,AR,READING,7,1,Need Support,1,-1,610,1049,-999.999,2.1175
US,AR,AR,READING,7,2,Close,1,-1,1049,1104,2.1175,3.397
US,AR,AR,READING,7,3,Ready,1,0,1104,1164,3.397,4.8015
US,AR,AR,READING,7,4,Exceeding,1,1,1164,1385,4.8015,999.999
US,AR,AR,READING,8,1,Need Support,1,-1,610,1054,-999.999,2.2415
US,AR,AR,READING,8,2,Close,1,-1,1054,1104,2.2415,3.4025
US,AR,AR,READING,8,3,Ready,1,0,1104,1165,3.4025,4.8415
US,AR,AR,READING,8,4,Exceeding,1,1,1165,1400,4.8415,999.999
US,AR,AR,READING,9,1,Need Support,1,-1,610,1080,-999.999,2.8565
US,AR,AR,READING,9,2,Close,1,-1,1080,1127,2.8565,3.941
US,AR,AR,READING,9,3,Ready,1,0,1127,1166,3.941,4.8485
US,AR,AR,READING,9,4,Exceeding,1,1,1166,1400,4.8485,999.999
US,AZ,AZ,READING,1,1,Minimally Proficient,0,-1,610,819,-999.999,-3.231
US,AZ,AZ,READING,1,2,Partially Proficient,0,-1,819,839,-3.231,-2.769
US,AZ,AZ,READING,1,3,Proficient,0,0,839,902,-2.769,-1.307
US,AZ,AZ,READING,1,4,Highly Proficient,0,1,902,1256,-1.307,999.999
US,AZ,AZ,READING,10,1,Minimally Proficient,0,-1,610,1106,-999.999,3.451
US,AZ,AZ,READING,10,2,Partially Proficient,0,-1,1106,1144,3.451,4.3375
US,AZ,AZ,READING,10,3,Proficient,0,0,1144,1186,4.3375,5.311
US,AZ,AZ,READING,10,4,Highly Proficient,0,1,1186,1400,5.311,999.999
US,AZ,AZ,READING,11,1,Minimally Proficient,0,-1,615,1112,-999.999,3.5895
US,AZ,AZ,READING,11,2,Partially Proficient,0,-1,1112,1151,3.5895,4.4985
US,AZ,AZ,READING,11,3,Proficient,0,0,1151,1193,4.4985,5.48
US,AZ,AZ,READING,11,4,Highly Proficient,0,1,1193,1400,5.48,999.999
US,AZ,AZ,READING,12,1,Minimally Proficient,0,-1,615,1120,-999.999,3.778
US,AZ,AZ,READING,12,2,Partially Proficient,0,-1,1120,1160,3.778,4.71
US,AZ,AZ,READING,12,3,Proficient,0,0,1160,1202,4.71,5.699
US,AZ,AZ,READING,12,4,Highly Proficient,0,1,1202,1400,5.699,999.999
US,AZ,AZ,READING,2,1,Minimally Proficient,0,-1,610,913,-999.999,-1.0495
US,AZ,AZ,READING,2,2,Partially Proficient,0,-1,913,934,-1.0495,-0.556
US,AZ,AZ,READING,2,3,Proficient,0,0,934,990,-0.556,0.75
US,AZ,AZ,READING,2,4,Highly Proficient,0,1,990,1341,0.75,999.999
US,AZ,AZ,READING,3,1,Minimally Proficient,1,-1,610,967,-999.999,0.218
US,AZ,AZ,READING,3,2,Partially Proficient,1,-1,967,987,0.218,0.673
US,AZ,AZ,READING,3,3,Proficient,1,0,987,1038,0.673,1.8735
US,AZ,AZ,READING,3,4,Highly Proficient,1,1,1038,1339,1.8735,999.999
US,AZ,AZ,READING,4,1,Minimally Proficient,1,-1,610,990,-999.999,0.76
US,AZ,AZ,READING,4,2,Partially Proficient,1,-1,990,1014,0.76,1.3285
US,AZ,AZ,READING,4,3,Proficient,1,0,1014,1074,1.3285,2.7285
US,AZ,AZ,READING,4,4,Highly Proficient,1,1,1074,1346,2.7285,999.999
