CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinSS,MaxSS,MinRasch,MaxRasch,Linked,ProficiencyFlag
AK,AK,AK,READING,1,1,Far Below Proficient ,0,76,-999.999,-4.327,0,-1
AK,AK,AK,READING,2,1,Far Below Proficient ,0,175,-999.999,-2.187,0,-1
AK,AK,AK,READING,3,1,Far Below Proficient ,0,288,-999.999,-0.8295,1,-1
AK,AK,AK,READING,4,1,Far Below Proficient ,0,366,-999.999,-0.0005,1,-1
AK,AK,AK,READING,5,1,Far Below Proficient ,0,377,-999.999,0.141,1,-1
AK,AK,AK,READING,6,1,Far Below Proficient ,0,444,-999.999,0.712,1,-1
AK,AK,AK,READING,7,1,Far Below Proficient ,0,445,-999.999,0.7215,1,-1
AK,AK,AK,READING,8,1,Far Below Proficient ,0,464,-999.999,0.9315,1,-1
AK,AK,AK,READING,9,1,Far Below Proficient ,0,473,-999.999,1.0255,1,-1
AK,AK,AK,READING,10,1,Far Below Proficient ,0,508,-999.999,1.3135,1,-1
AK,AK,AK,READING,11,1,Far Below Proficient ,0,518,-999.999,1.397,0,-1
AK,AK,AK,READING,12,1,Far Below Proficient ,0,530,-999.999,1.4965,0,-1
AK,AK,AK,READING,1,2,Below Proficient,77,146,-4.327,-2.538,0,-1
AK,AK,AK,READING,2,2,Below Proficient,176,331,-2.187,-0.372,0,-1
AK,AK,AK,READING,3,2,Below Proficient,289,459,-0.8295,0.875,1,-1
AK,AK,AK,READING,4,2,Below Proficient,367,522,-0.0005,1.433,1,-1
AK,AK,AK,READING,5,2,Below Proficient,378,575,0.141,1.834,1,-1
AK,AK,AK,READING,6,2,Below Proficient,445,632,0.712,2.2155,1,-1
AK,AK,AK,READING,7,2,Below Proficient,446,633,0.7215,2.222,1,-1
AK,AK,AK,READING,8,2,Below Proficient,465,752,0.9315,2.8235,1,-1
AK,AK,AK,READING,9,2,Below Proficient,474,753,1.0255,2.8265,1,-1
AK,AK,AK,READING,10,2,Below Proficient,509,758,1.3135,2.839,1,-1
AK,AK,AK,READING,11,2,Below Proficient,519,799,1.397,3.009,0,-1
AK,AK,AK,READING,12,2,Below Proficient,531,835,1.4965,3.149,0,-1
AK,AK,AK,READING,1,3,Proficient,147,318,-2.538,-0.508,0,0
AK,AK,AK,READING,2,3,Proficient,332,513,-0.372,1.351,0,0
AK,AK,AK,READING,3,3,Proficient,460,675,0.875,2.469,1,0
AK,AK,AK,READING,4,3,Proficient,523,721,1.433,2.7075,1,0
AK,AK,AK,READING,5,3,Proficient,576,937,1.834,3.689,1,0
AK,AK,AK,READING,6,3,Proficient,633,1083,2.2155,4.171,1,0
AK,AK,AK,READING,7,3,Proficient,634,1084,2.222,4.173,1,0
AK,AK,AK,READING,8,3,Proficient,753,1234,2.8235,4.772,1,0
AK,AK,AK,READING,9,3,Proficient,754,1235,2.8265,4.7765,1,0
AK,AK,AK,READING,10,3,Proficient,759,1277,2.839,4.9645,1,0
AK,AK,AK,READING,11,3,Proficient,800,1300,3.009,5.102,0,0
AK,AK,AK,READING,12,3,Proficient,836,1319,3.149,5.3305,0,0
AK,AK,AK,READING,1,4,Advanced,319,1400,-0.508,999.999,0,1
AK,AK,AK,READING,2,4,Advanced,514,1400,1.351,999.999,0,1
AK,AK,AK,READING,3,4,Advanced,676,1400,2.469,999.999,1,1
AK,AK,AK,READING,4,4,Advanced,722,1400,2.7075,999.999,1,1
AK,AK,AK,READING,5,4,Advanced,938,1400,3.689,999.999,1,1
AK,AK,AK,READING,6,4,Advanced,1084,1400,4.171,999.999,1,1
AK,AK,AK,READING,7,4,Advanced,1085,1400,4.173,999.999,1,1
AK,AK,AK,READING,8,4,Advanced,1235,1400,4.772,999.999,1,1
AK,AK,AK,READING,9,4,Advanced,1236,1400,4.7765,999.999,1,1
AK,AK,AK,READING,10,4,Advanced,1278,1400,4.9645,999.999,1,1
AK,AK,AK,READING,11,4,Advanced,1301,1400,5.102,999.999,0,1
AK,AK,AK,READING,12,4,Advanced,1320,1400,5.3305,999.999,0,1
AK,AK,AK,MATHEMATICS,1,1,Far Below Proficient ,0,246,-999.999,-5.223,0,-1
AK,AK,AK,MATHEMATICS,2,1,Far Below Proficient ,0,376,-999.999,-3.572,0,-1
AK,AK,AK,MATHEMATICS,3,1,Far Below Proficient ,0,452,-999.999,-2.607,1,-1
AK,AK,AK,MATHEMATICS,4,1,Far Below Proficient ,0,509,-999.999,-1.883,1,-1
AK,AK,AK,MATHEMATICS,5,1,Far Below Proficient ,0,519,-999.999,-1.756,1,-1
AK,AK,AK,MATHEMATICS,6,1,Far Below Proficient ,0,565,-999.999,-1.172,1,-1
AK,AK,AK,MATHEMATICS,7,1,Far Below Proficient ,0,577,-999.999,-1.02,1,-1
AK,AK,AK,MATHEMATICS,8,1,Far Below Proficient ,0,615,-999.999,-0.537,1,-1
AK,AK,AK,MATHEMATICS,9,1,Far Below Proficient ,0,618,-999.999,-0.499,1,-1
AK,AK,AK,MATHEMATICS,10,1,Far Below Proficient ,0,688,-999.999,0.389,1,-1
AK,AK,AK,MATHEMATICS,11,1,Far Below Proficient ,0,706,-999.999,0.618,0,-1
AK,AK,AK,MATHEMATICS,12,1,Far Below Proficient ,0,712,-999.999,0.694,0,-1
AK,AK,AK,MATHEMATICS,1,2,Below Proficient,247,376,-5.223,-3.572,0,-1
AK,AK,AK,MATHEMATICS,2,2,Below Proficient,377,493,-3.572,-2.086,0,-1
AK,AK,AK,MATHEMATICS,3,2,Below Proficient,453,584,-2.607,-0.931,1,-1
AK,AK,AK,MATHEMATICS,4,2,Below Proficient,510,641,-1.883,-0.207,1,-1
AK,AK,AK,MATHEMATICS,5,2,Below Proficient,520,692,-1.756,0.44,1,-1
AK,AK,AK,MATHEMATICS,6,2,Below Proficient,566,745,-1.172,1.113,1,-1
AK,AK,AK,MATHEMATICS,7,2,Below Proficient,578,752,-1.02,1.202,1,-1
AK,AK,AK,MATHEMATICS,8,2,Below Proficient,616,811,-0.537,1.951,1,-1
AK,AK,AK,MATHEMATICS,9,2,Below Proficient,619,812,-0.499,1.964,1,-1
AK,AK,AK,MATHEMATICS,10,2,Below Proficient,689,859,0.389,2.561,1,-1
AK,AK,AK,MATHEMATICS,11,2,Below Proficient,707,873,0.618,2.738,0,-1
AK,AK,AK,MATHEMATICS,12,2,Below Proficient,713,886,0.694,2.903,0,-1
AK,AK,AK,MATHEMATICS,1,3,Proficient,377,485,-3.572,-2.188,0,0
AK,AK,AK,MATHEMATICS,2,3,Proficient,494,592,-2.086,-0.829,0,0
AK,AK,AK,MATHEMATICS,3,3,Proficient,585,676,-0.931,0.237,1,0
AK,AK,AK,MATHEMATICS,4,3,Proficient,642,752,-0.207,1.202,1,0
AK,AK,AK,MATHEMATICS,5,3,Proficient,693,826,0.44,2.142,1,0
AK,AK,AK,MATHEMATICS,6,3,Proficient,746,859,1.113,2.561,1,0
AK,AK,AK,MATHEMATICS,7,3,Proficient,753,898,1.202,3.056,1,0
AK,AK,AK,MATHEMATICS,8,3,Proficient,812,917,1.951,3.297,1,0
AK,AK,AK,MATHEMATICS,9,3,Proficient,813,925,1.964,3.399,1,0
AK,AK,AK,MATHEMATICS,10,3,Proficient,860,926,2.561,3.411,1,0
AK,AK,AK,MATHEMATICS,11,3,Proficient,874,940,2.738,3.589,0,0
AK,AK,AK,MATHEMATICS,12,3,Proficient,887,950,2.903,3.716,0,0
AK,AK,AK,MATHEMATICS,1,4,Advanced,486,1400,-2.188,999.999,0,1
AK,AK,AK,MATHEMATICS,2,4,Advanced,593,1400,-0.829,999.999,0,1
AK,AK,AK,MATHEMATICS,3,4,Advanced,677,1400,0.237,999.999,1,1
AK,AK,AK,MATHEMATICS,4,4,Advanced,753,1400,1.202,999.999,1,1
AK,AK,AK,MATHEMATICS,5,4,Advanced,827,1400,2.142,999.999,1,1
AK,AK,AK,MATHEMATICS,6,4,Advanced,860,1400,2.561,999.999,1,1
AK,AK,AK,MATHEMATICS,7,4,Advanced,899,1400,3.056,999.999,1,1
AK,AK,AK,MATHEMATICS,8,4,Advanced,918,1400,3.297,999.999,1,1
AK,AK,AK,MATHEMATICS,9,4,Advanced,926,1400,3.399,999.999,1,1
AK,AK,AK,MATHEMATICS,10,4,Advanced,927,1400,3.411,999.999,1,1
AK,AK,AK,MATHEMATICS,11,4,Advanced,941,1400,3.589,999.999,0,1
AK,AK,AK,MATHEMATICS,12,4,Advanced,951,1400,3.716,999.999,0,1
AL,AL,AL,READING,1,1,Need Support,0,116,-999.999,-2.857,0,-1
AL,AL,AL,READING,2,1,Need Support,0,284,-999.999,-0.876,0,-1
AL,AL,AL,READING,3,1,Need Support,0,391,-999.999,0.2575,1,-1
AL,AL,AL,READING,4,1,Need Support,0,427,-999.999,0.5745,1,-1
AL,AL,AL,READING,5,1,Need Support,0,525,-999.999,1.457,1,-1
AL,AL,AL,READING,6,1,Need Support,0,552,-999.999,1.639,1,-1
AL,AL,AL,READING,7,1,Need Support,0,617,-999.999,2.1175,1,-1
AL,AL,AL,READING,8,1,Need Support,0,636,-999.999,2.2415,1,-1
AL,AL,AL,READING,9,1,Need Support,0,765,-999.999,2.8565,1,-1
AL,AL,AL,READING,10,1,Need Support,0,921,-999.999,3.621,1,-1
AL,AL,AL,READING,11,1,Need Support,0,953,-999.999,3.762,0,-1
AL,AL,AL,READING,12,1,Need Support,0,1008,-999.999,3.975,0,-1
AL,AL,AL,READING,1,2,Close,117,198,-2.857,-1.915,0,-1
AL,AL,AL,READING,2,2,Close,285,373,-0.876,0.0895,0,-1
AL,AL,AL,READING,3,2,Close,392,492,0.2575,1.1785,1,-1
AL,AL,AL,READING,4,2,Close,428,571,0.5745,1.808,1,-1
AL,AL,AL,READING,5,2,Close,526,695,1.457,2.5785,1,-1
AL,AL,AL,READING,6,2,Close,553,725,1.639,2.7285,1,-1
AL,AL,AL,READING,7,2,Close,618,889,2.1175,3.397,1,-1
AL,AL,AL,READING,8,2,Close,637,890,2.2415,3.4025,1,-1
AL,AL,AL,READING,9,2,Close,766,992,2.8565,3.941,1,-1
AL,AL,AL,READING,10,2,Close,922,1185,3.621,4.5245,1,-1
AL,AL,AL,READING,11,2,Close,954,1216,3.762,4.66,0,-1
AL,AL,AL,READING,12,2,Close,1009,1263,3.975,4.9095,0,-1
AL,AL,AL,READING,1,3,Ready,199,281,-1.915,-0.9135,0,0
AL,AL,AL,READING,2,3,Ready,374,467,0.0895,0.9655,0,0
AL,AL,AL,READING,3,3,Ready,493,607,1.1785,2.0455,1,0
AL,AL,AL,READING,4,3,Ready,572,724,1.808,2.723,1,0
AL,AL,AL,READING,5,3,Ready,696,899,2.5785,3.457,1,0
