vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,MinRasch,MaxRasch,linked,ProfFlag
AK,AK,Reading,1,1,Far Below ,0,70,-999.999,-4.82,0,0
AK,AK,Reading,2,1,Far Below ,0,107,-999.999,-2.969,0,0
AK,AK,Reading,3,1,Far Below ,0,202,-999.999,-1.867,1,0
AK,AK,Reading,4,1,Far Below ,0,282,-999.999,-0.901,1,0
AK,AK,Reading,5,1,Far Below ,0,327,-999.999,-0.411,1,0
AK,AK,Reading,6,1,Far Below ,0,401,-999.999,0.359,1,0
AK,AK,Reading,7,1,Far Below ,0,402,-999.999,0.369,1,0
AK,AK,Reading,8,1,Far Below ,0,474,-999.999,1.0345,1,0
AK,AK,Reading,9,1,Far Below ,0,544,-999.999,1.589,0,0
AK,AK,Reading,10,1,Far Below ,0,553,-999.999,1.6455,0,0
AK,AK,Reading,11,1,Far Below ,0,568,-999.999,1.785,0,0
AK,AK,Reading,12,1,Far Below ,0,587,-999.999,1.921,0,0
AK,AK,Reading,1,2,Below,71,87,-4.82,-3.6175,0,0
AK,AK,Reading,2,2,Below,108,223,-2.969,-1.6095,0,0
AK,AK,Reading,3,2,Below,203,321,-1.867,-0.472,1,0
AK,AK,Reading,4,2,Below,283,416,-0.901,0.4795,1,0
AK,AK,Reading,5,2,Below,328,492,-0.411,1.1785,1,0
AK,AK,Reading,6,2,Below,402,580,0.359,1.867,1,0
AK,AK,Reading,7,2,Below,403,581,0.369,1.8735,1,0
AK,AK,Reading,8,2,Below,475,677,1.0345,2.482,1,0
AK,AK,Reading,9,2,Below,545,786,1.589,2.9485,0,0
AK,AK,Reading,10,2,Below,554,816,1.6455,3.078,0,0
AK,AK,Reading,11,2,Below,569,856,1.785,3.254,0,0
AK,AK,Reading,12,2,Below,588,896,1.921,3.438,0,0
AK,AK,Reading,1,3,Proficient,88,179,-3.6175,-2.138,0,1
AK,AK,Reading,2,3,Proficient,224,355,-1.6095,-0.1255,0,1
AK,AK,Reading,3,3,Proficient,322,466,-0.472,0.9545,1,1
AK,AK,Reading,4,3,Proficient,417,589,0.4795,1.937,1,1
AK,AK,Reading,5,3,Proficient,493,757,1.1785,2.8365,1,1
AK,AK,Reading,6,3,Proficient,581,850,1.867,3.218,1,1
AK,AK,Reading,7,3,Proficient,582,902,1.8735,3.4775,1,1
AK,AK,Reading,8,3,Proficient,678,1058,2.482,4.1055,1,1
AK,AK,Reading,9,3,Proficient,787,1164,2.9485,4.4205,0,1
AK,AK,Reading,10,3,Proficient,817,1209,3.078,4.621,0,1
AK,AK,Reading,11,3,Proficient,857,1234,3.254,4.772,0,1
AK,AK,Reading,12,3,Proficient,897,1291,3.438,5.0255,0,1
AK,AK,Reading,1,4,Advanced,180,1400,-2.138,999.999,0,1
AK,AK,Reading,2,4,Advanced,356,1400,-0.1255,999.999,0,1
AK,AK,Reading,3,4,Advanced,467,1400,0.9545,999.999,1,1
AK,AK,Reading,4,4,Advanced,590,1400,1.937,999.999,1,1
AK,AK,Reading,5,4,Advanced,758,1400,2.8365,999.999,1,1
AK,AK,Reading,6,4,Advanced,851,1400,3.218,999.999,1,1
AK,AK,Reading,7,4,Advanced,903,1400,3.4775,999.999,1,1
AK,AK,Reading,8,4,Advanced,1059,1400,4.1055,999.999,1,1
AK,AK,Reading,9,4,Advanced,1165,1400,4.4205,999.999,0,1
AK,AK,Reading,10,4,Advanced,1210,1400,4.621,999.999,0,1
AK,AK,Reading,11,4,Advanced,1235,1400,4.772,999.999,0,1
AK,AK,Reading,12,4,Advanced,1292,1400,5.0255,999.999,0,1
AK,AK,Math,1,1,Far Below ,0,305,-999.999,-4.473,0,0
AK,AK,Math,2,1,Far Below ,0,429,-999.999,-2.899,0,0
AK,AK,Math,3,1,Far Below ,0,512,-999.999,-1.845,1,0
AK,AK,Math,4,1,Far Below ,0,577,-999.999,-1.02,1,0
AK,AK,Math,5,1,Far Below ,0,604,-999.999,-0.677,1,0
AK,AK,Math,6,1,Far Below ,0,656,-999.999,-0.017,0,0
AK,AK,Math,7,1,Far Below ,0,673,-999.999,0.199,0,0
AK,AK,Math,8,1,Far Below ,0,695,-999.999,0.478,0,0
AK,AK,Math,9,1,Far Below ,0,705,-999.999,0.605,0,0
AK,AK,Math,10,1,Far Below ,0,707,-999.999,0.631,0,0
AK,AK,Math,11,1,Far Below ,0,728,-999.999,0.897,0,0
AK,AK,Math,12,1,Far Below ,0,731,-999.999,0.935,0,0
AK,AK,Math,1,2,Below,306,354,-4.473,-3.851,0,0
AK,AK,Math,2,2,Below,430,473,-2.899,-2.34,0,0
AK,AK,Math,3,2,Below,513,563,-1.845,-1.198,1,0
AK,AK,Math,4,2,Below,578,634,-1.02,-0.296,1,0
AK,AK,Math,5,2,Below,605,686,-0.677,0.364,1,0
AK,AK,Math,6,2,Below,657,740,-0.017,1.05,0,0
AK,AK,Math,7,2,Below,674,767,0.199,1.392,0,0
AK,AK,Math,8,2,Below,696,792,0.478,1.71,0,0
AK,AK,Math,9,2,Below,706,801,0.605,1.824,0,0
AK,AK,Math,10,2,Below,708,805,0.631,1.875,0,0
AK,AK,Math,11,2,Below,729,820,0.897,2.065,0,0
AK,AK,Math,12,2,Below,732,836,0.935,2.269,0,0
AK,AK,Math,1,3,Proficient,355,439,-3.851,-2.772,0,1
