names.provided,names.sgp,names.type,names.info,names.output
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
CONTENT_AREA,CONTENT_AREA,content,Content area (Mathematics or Reading),
YEAR,YEAR,time,Year (testing year) associated with record,
ID,ID,individual,Unique student identifer,
SGP_TARGET,SGP_TARGET,measure,SGP target for catch-up/keep-up,
ACHIEVEMENT_LEVEL_PRIOR,ACHIEVEMENT_LEVEL_PRIOR,measure,Achievement level associated with most recent prior score for SGP calculation,
CATCH_UP_KEEP_UP_STATUS_INITIAL,CATCH_UP_KEEP_UP_STATUS_INITIAL,measure,Initial catch up and keep up status of the student,
SGP,SGP,measure,Student growth percentile for student,
SGP_LEVEL,SGP_LEVEL,measure,Student growth percentile level associated with SGP,
FIRST_NAME,FIRST_NAME,individual,Student first name
LAST_NAME,LAST_NAME,individual,Student last name
GRADE,GRADE,institution_level,Grade level of test taken,
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number (teaching year),
DISTRICT_NAME,DISTRICT_NAME,label,District name (teaching year),
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number (teaching year),
SCHOOL_NAME,SCHOOL_NAME,label,School name (teaching year),
ETHNICITY,ETHNICITY,demographic,Student ethnicity,TRUE
GENDER,GENDER,demographic,Student gender,TRUE
IEP_STATUS,IEP_STATUS,demographic,Student IEP status indicator,TRUE
ELL_STATUS,ELL_STATUS,demographic,Student ELL status indicator,TRUE
FREE_REDUCED_LUNCH_STATUS,FREE_REDUCED_LUNCH_STATUS,demographic,Free/reduced lunch status indicator,TRUE
SCALE_SCORE,SCALE_SCORE,measure,Student scale score,
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievment level associated with student score,
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
DISTRICT_ENROLLMENT_STATUS,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
SCHOOL_ENROLLMENT_STATUS,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
CATCH_UP_KEEP_UP_STATUS,CATCH_UP_KEEP_UP_STATUS,measure,Indicator of whether the student caught up/kept up or didn't,
