names.provided,names.sgp,names.type,names.info,names.output
ID,ID,individual,Unique student identifier,
LAST_NAME,LAST_NAME,label,Student last name,
FIRST_NAME,FIRST_NAME,label,Student first name,
CONTENT_AREA,CONTENT_AREA,content,Content area associated with record,
CONTENT_GROUP,CONTENT_GROUP,content,Content area associated with record,
YEAR,YEAR,time,Year associated with record,
GRADE,GRADE,institution_level,Grade/Test level associated with record,
SCALE_SCORE,SCALE_SCORE,measure,Scale score,
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievement level,
GENDER,GENDER,demographic,Student gender,TRUE
ETHNICITY,ETHNICITY,demographic,Student ethnicity,TRUE
SES_STATUS,SES_STATUS,demographic,Student free and reduced lunch status,TRUE
ELL_STATUS,ELL_STATUS,demographic,Student ELL status,TRUE
IEP_STATUS,IEP_STATUS,demographic,Student IEP status,TRUE
INSTRUCTOR_NUMBER_1,INSTRUCTOR_NUMBER_1,institution_multiple_membership_1,Instructor 1 number with possible multiple membership,
INSTRUCTOR_NUMBER_2,INSTRUCTOR_NUMBER_2,institution_multiple_membership_1,Instructor 2 number with possible multiple membership,
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number,
SCHOOL_NAME,SCHOOL_NAME,label,School name,
EMH_LEVEL,EMH_LEVEL,institution_type,Elementary/Middle/High School level flag,
CMO_NUMBER,CMO_NUMBER,institution,Psuedo Number identifier,
CMO_NAME,CMO_NAME,label,CMO Name,
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number,
DISTRICT_NAME,DISTRICT_NAME,label,School name,
INSTRUCTOR_1_WEIGHT,INSTRUCTOR_1_WEIGHT,institution_multiple_membership_1_weight,Instructor 1 weight with possible multiple membership,
INSTRUCTOR_2_WEIGHT,INSTRUCTOR_2_WEIGHT,institution_multiple_membership_1_weight,Instructor 2 weight with possible multiple membership,
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
