names.provided,names.sgp,names.type,names.info,names.output
VALID_CASE,VALID_CASE,individual_inclusion,Valid Case Identifier,
SUBJECT_CODE,CONTENT_AREA,content,Content area of assessment,
SCHOOL_YEAR,YEAR,time,Year (testing year) associated with record,
SR_SYSTEM_ID,DISTRICT_NUMBER,institution,District Number,
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,Unique School Identifier created from SR_SCHOOL_ID and SR_SYSTEM_ID,
GRADE,GRADE,institution_level,Grade level of test taken except EOCT,
GRADE_REPORTED,GRADE_REPORTED,institution_level,Grade level of test taken or reported,
SCALE_SCORE,SCALE_SCORE,measure,Scale score,
PERFORMANCE_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievement level associated with student score,
GTID,ID,individual,Unique student identifier,
LAST_NAME,LAST_NAME,other,LAST_NAME,
FIRST_NAME,FIRST_NAME,other,FIRST_NAME,
MIDDLE_NAME,MIDDLE_NAME,other,MIDDLE_NAME,
BIRTH_DATE,BIRTH_DATE,other,BIRTH_DATE,
RACE_CODE,RACE_CODE,demographic,Ethnicity/Race code,TRUE
GENDER_CODE,GENDER_CODE,demographic,GENDER,TRUE
ED,ED,demographic,Economically Disadvantaged indicator,TRUE
SWD,SWD,demographic,Students with disabilities,TRUE
LEP,LEP,demographic,LEP/ELL Students,TRUE
MATCH_STATUS,MATCH_STATUS,other,Match Status,
ADMIN_INVALIDATION,ADMIN_INVALIDATION,other,Combination of TAR PTNA DNA and other invalidation indicators ,
ADMINISTRATION_PERIOD,ADMINISTRATION_PERIOD,other,Administration time for EOC assessments,
YEAR_WITHIN,YEAR_WITHIN,other - time,Administrative time associated with record (integer),
RETEST_INDICATOR,RETEST_INDICATOR,other,Indicator,
FIRST_OBSERVATION,FIRST_OBSERVATION,other - time,Indicator whether record is first observed for YEAR_WITHIN,
LAST_OBSERVATION,LAST_OBSERVATION,other - time,Indicator whether record is last observed for YEAR_WITHIN,
SCHOOL_ENROLLMENT_STATUS,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
DISTRICT_ENROLLMENT_STATUS,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
