names.provided,names.sgp,names.sgp.type,names.sgp.info,names.sgp.output
ID,ID,individual,Unique student identifier,
LAST_NAME,LAST_NAME,label,Student last name,
FIRST_NAME,FIRST_NAME,label,Student first name,
CONTENT_AREA,CONTENT_AREA,content,Content area associated with record,
YEAR,YEAR,time,Year associated with record,
GRADE,GRADE,institution_level,Grade/Test level associated with record,
SCALE_SCORE,SCALE_SCORE,measure,Scale score,
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievement level,
GENDER,GENDER,demographic,Student gender,TRUE
MINORITY_STATUS,MINORITY_STATUS,demographic,Student ethnicity,TRUE
ECONOMICALLY_DISADVANTAGED_STATUS,ECONOMICALLY_DISADVANTAGED_STATUS,demographic,Student free and reduced lunch status,TRUE
ELL_STATUS,ELL_STATUS,demographic,Student ELL status,TRUE
SPECIAL_EDUCATION_STATUS,SPECIAL_EDUCATION_STATUS,demographic,Student Special Education status,TRUE
GIFTED_AND_TALENTED_PROGRAM_STATUS,GIFTED_AND_TALENTED_PROGRAM_STATUS,demographic,Student gifted and talented program status,TRUE
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number,
SCHOOL_NAME,SCHOOL_NAME,label,School name,
EMH_LEVEL,EMH_LEVEL,institution_type,Elementary/Middle/High School level flag,
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number,
DISTRICT_NAME,DISTRICT_NAME,label,School name,
SCHOOL_NUMBER,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
DISTRICT_NAME,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
