names.provided,names.sgp,names.type,names.info,names.output
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
CONTENT_AREA,CONTENT_AREA,content,Content area (Mathematics or Reading),
YEAR,YEAR,time,Year (testing year) associated with record,
ID,ID,individual,Unique student identifer,
SGP,SGP,measure,Student growth percentile,
SGP_LEVEL,SGP_LEVEL,measure,Student growth percentile level,
SGP_0.16_CONFIDENCE_BOUND,SGP_0.16_CONFIDENCE_BOUND,measure,Student growth percentile 0.16 lower bound,
SGP_0.84_CONFIDENCE_BOUND,SGP_0.84_CONFIDENCE_BOUND,measure,Student growth percentile 0.84 lower bound,
LAST_NAME,LAST_NAME,individual,Student last name,
FIRST_NAME,FIRST_NAME,individual,Student first name,
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number (teaching year),
DISTRICT_NAME,DISTRICT_NAME,label,District name (teaching year),
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number (teaching year),
SCHOOL_NAME,SCHOOL_NAME,label,School name (teaching year),
GRADE,GRADE,institution_level,Grade level of test taken,
GENDER,GENDER,demographic,Student gender,TRUE
ETHNICITY,ETHNICITY,demographic,Student ethnicity,TRUE
IEP_STATUS,IEP_STATUS,demographic,Student IEP status indicator,TRUE
LEP_STATUS,LEP_STATUS,demographic,Student LEP status indicator,TRUE
SES_STATUS,SES_STATUS,demographic,Free/reduced lunch status indicator,TRUE
GIFTED_AND_TALENTED_PROGRAM_STATUS,GIFTED_AND_TALENTED_PROGRAM_STATUS,demographic,Gifted and talented program status indicator,TRUE
TITLE_1_STATUS,TITLE_1_STATUS,demographic,title 1 status indicator,TRUE
SPECIAL_EDUCATION_STATUS,SPECIAL_EDUCATION_STATUS,demographic,special education status indicator,TRUE
SCALE_SCORE,SCALE_SCORE,measure,Student scale score,
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievment level associated with student score,
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
DISTRICT_ENROLLMENT_STATUS,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
SCHOOL_ENROLLMENT_STATUS,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
