names.provided,names.sgp,names.type,names.info,names.output
ID,ID,individual,Unique student identifer,
LAST_NAME,LAST_NAME,label,Student last name
FIRST_NAME,FIRST_NAME,label,Student first name
CONTENT_AREA,CONTENT_AREA,content,Content area (Mathematics or Reading),
YEAR,YEAR,time,Year associated with record,
GRADE,GRADE,institution_level,Grade level of test taken,
SCALE_SCORE,SCALE_SCORE,measure,Student scale score,
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievment level associated with student score,
GENDER,GENDER,demographic,Student gender,TRUE
ETHNICITY,ETHNICITY,demographic,Student ethnicity,TRUE
FREE_REDUCED_LUNCH_STATUS,FREE_REDUCED_LUNCH_STATUS,demographic,Free/reduced lunch status indicator,TRUE
ELL_STATUS,ELL_STATUS,demographic,Student ELL status indicator,TRUE
IEP_STATUS,IEP_STATUS,demographic,Student IEP status indicator,TRUE
GIFTED_AND_TALENTED_PROGRAM_STATUS,GIFTED_AND_TALENTED_PROGRAM_STATUS,demographic,Gifted and talented inclusion variable,TRUE
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number,
SCHOOL_NAME,SCHOOL_NAME,label,School name,
EMH_LEVEL,EMH_LEVEL,institution_type,Elementary/Middle/High School level,
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number,
DISTRICT_NAME,DISTRICT_NAME,label,District name,
SCHOOL_ENROLLMENT_STATUS,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
DISTRICT_ENROLLMENT_STATUS,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
