names.provided,names.sgp,names.type,names.info,names.output
SCH_YR,YEAR,time,Year associated with record,
STATE_TESTING_ID,ID,individual,Unique student identifier,
EDAGENCY_NUM,DISTRICT_NUMBER,institution,Education agency number,
DIV_NAME,DISTRICT_NAME,label,Education agency/Division name,
INSTITUTION_ID,SCHOOL_NUMBER,institution,Institution identification number,
SCH_NUM,SCH_NUM,NA,School number,
SCH_NAME,SCHOOL_NAME,label,School name,
RACE_TYPE_ID,ETHNICITY,demographic,Race category of student,
GENDER,GENDER,demographic,Gender of student,
IDEA_DISABILITY_FLAG,IDEA_DISABILITY_FLAG,demographic,Student disability status,
LEP_STATUS_FLAG,LEP_STATUS,demographic,Student LEP status,
DISADVANTAGED_STATUS_FLAG,DISADVANTAGED_STATUS_FLAG,demographic,Student disadvantaged status,
HOMELESS_STATUS_FLAG,HOMELESS_STATUS_FLAG,demographic,Student homeless status,
MIGRANT_STATUS_FLAG,MIGRANT_STATUS_FLAG,demographic,Student migrant status,
GRADE_CODE,GRADE_CODE,NA,Student grade code (not used for GRADE in data),
TEST_TYPE,TEST_TYPE,NA,Test type taken by student,
SOL_TEST_CODE,SOL_TEST_CODE,NA,Standards of Learning (SOL) test code,
SUBJECT_CODE,SUBJECT_CODE,content,Subject code associated with assessment,
TEST_LEVEL,TEST_LEVEL,institution_level,Test level of test taken,
FORM_NUM,FORM_NUM,NA,Form number,
TEST_DATE,TEST_DATE,NA,Test date,
ADMIN_TIME_CODE,ADMIN_TIME_CODE,NA,Administration time code,
TEST_ADMINISTRATION,TEST_ADMINISTRATION,NA,Test administration,
RETEST_FLAG,RETEST_FLAG,NA,Re-testing flag,
EOC_RECOVERY_FLAG,EOC_RECOVERY_FLAG,NA,End of course recovery flag,
SOL_SCALED_SCORE_CODE,SCALE_SCORE,measure,Scale score,
PROFICIENCY_LEVEL_CODE,PROFICIENCY_LEVEL_CODE,NA,Proficiency level,
PRINT_AFTER_SCAN_CODE,PRINT_AFTER_SCAN_CODE,NA,Print after scan code,
STUDENT_LVL_RECORD_ID,STUDENT_LVL_RECORD_ID,NA,Student level record identification number,
CONTENT_AREA,CONTENT_AREA,content,Content area (Mathematics or English-Reading),
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievement level associated with score,
GRADE,GRADE,NA,Grade/test level associated with student score,
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
