names.provided,names.sgp,names.type,names.info,names.output
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,NA
ID,ID,individual,Unique student identifier,NA
LAST_NAME,LAST_NAME,label,Student last name,NA
FIRST_NAME,FIRST_NAME,label,Student first name,NA
CONTENT_AREA,CONTENT_AREA,content,Content area associated with record,NA
YEAR,YEAR,time,Year associated with record,NA
GRADE,GRADE,institution_level,Grade/Test level associated with record,NA
SCALE_SCORE,SCALE_SCORE,measure,Scale score,NA
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievement level,NA
GENDER,GENDER,demographic,Student gender,TRUE
ETHNICITY,ETHNICITY,demographic,Student ethnicity,TRUE
FREE_REDUCED_LUNCH_STATUS,FREE_REDUCED_LUNCH_STATUS,demographic,Student free and reduced lunch status,TRUE
ELL_STATUS,ELL_STATUS,demographic,Student ELL status,TRUE
IEP_STATUS,IEP_STATUS,demographic,Student IEP status,TRUE
GIFTED_TALENTED_PROGRAM_STATUS,GIFTED_TALENTED_PROGRAM_STATUS,demographic,Student GT status,NA
EMH_LEVEL,EMH_LEVEL,institution_type,Elementary/Middle/High School level flag,NA
SCHOOL_NAME,SCHOOL_NAME,label,School name,NA
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number,NA
DISTRICT_NAME,DISTRICT_NAME,label,School name,NA
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number,NA
SCHOOL_ENROLLMENT_STATUS,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,NA
DISTRICT_ENROLLMENT_STATUS,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,NA
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,NA
HIGH_NEED_STATUS,HIGH_NEED_STATUS,demographic,High need status flag,TRUE
